J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,10,1,0.1,3,0.001757404999807477,0.0,1,0,0,0,0,0,0,0
J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,10,1,0.1,4,0.00262569502228871,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,5,0.005086452001705766,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,2,0.005082849005702883,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,1,1.5932238241657615,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,0,1.5759114930406213,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,7,0.0020310970139689744,0.0,1,0,0,0,0,0,0,0
50,10,1,0.1,8,0.0027476070099510252,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,6,0.0034572994336485863,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,9,1.4792521829949692,1.0,0,0,0,0,0,0,0,1
