J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,15,10,0.2,80,156.77017071340234,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,5,176.55348276300356,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,37,173.59334639888257,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,53,172.71657788110898,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,28,176.05131409936584,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,12,179.16730532925575,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,56,175.4270773402415,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,54,177.56196003220975,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,2,183.83253407310696,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,7,184.08950321178418,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,22,183.1683662980795,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,97,181.76524050226436,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,89,181.94826347548513,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,88,182.05856911893935,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,13,188.7304463768378,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,11,189.02957178023644,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,90,184.3491665159585,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,96,184.62905996860937,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,17,190.9312365083024,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,98,187.19973395634443,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,57,187.48991602687164,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,6,193.44153357145842,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,71,188.3683066177182,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,92,190.9442303800024,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,99,192.07252935646102,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,10,198.45764455688186,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,75,193.0194626742974,0.8,0,0,0,2,0,0,0,8
50,15,10,0.2,61,193.4381438956596,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,63,193.67493238477036,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,42,194.39572103004903,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,51,194.97026527673006,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,36,198.5844008867629,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,52,197.42446069847793,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,93,199.28301835823805,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,50,201.4339498952031,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,3,207.7723251075484,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,16,208.10366676505654,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,55,202.66196668827905,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,91,203.61094961985947,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,4,209.88148671491072,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,18,210.36086375731975,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,76,205.3640681303106,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,49,205.5553786970675,0.8,0,0,0,2,0,0,0,8
50,15,10,0.2,9,212.1745165881701,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,34,210.49307554997503,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,83,209.73316110121087,1.0,0,0,0,0,0,0,0,10
