J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,15,10,0.2,28,68.22614230886101,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,37,69.05756752621383,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,49,67.71332847167506,0.8,0,0,0,2,0,0,0,8
50,15,10,0.2,80,62.58975428566337,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,75,65.75785293793305,0.8,0,0,0,2,0,0,0,8
50,15,10,0.2,54,69.7348109842278,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,15,78.79598398001399,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,53,73.0957214022521,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,29,76.4336523219943,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,12,79.54166147280485,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,11,80.1744585682638,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,56,74.97343299537897,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,6,81.04605687817093,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,22,78.40830308105797,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,0,81.66930075893178,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,7,82.16902464991435,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,9,83.04605855513364,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,48,76.99988468550146,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,30,80.8790386678651,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,10,84.52221081014723,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,1,84.56752452999353,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,52,78.89788649380208,1.0,0,0,0,0,0,0,0,10
