J,K,N,p,seed,sim,runtime,identifiable,branch
50,15,10,0.3,1,0,7.2370389979332685,True,6
50,15,10,0.3,5,0,9.194882215932012,True,6
50,15,10,0.3,0,0,9.590757030062377,True,6
50,15,10,0.3,2,0,10.42698311060667,True,6
50,15,10,0.3,3,0,10.537052597850561,True,6
50,15,10,0.3,4,0,10.931202663108706,True,6
50,15,10,0.3,2,1,6.730340056121349,True,6
50,15,10,0.3,0,1,8.885475215036422,True,6
50,15,10,0.3,1,1,10.936668828129768,True,6
50,15,10,0.3,3,1,11.067145392298698,True,6
50,15,10,0.3,4,1,10.555537162348628,True,6
50,15,10,0.3,5,1,12.885438548400998,True,6
50,15,10,0.3,2,2,10.138143718242645,True,6
50,15,10,0.3,1,2,8.220106543973088,True,6
50,15,10,0.3,0,2,9.297078392002732,True,6
