J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,10,1,0.1,2,0.0050587961450219154,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,3,0.0016685668379068375,0.0,1,0,0,0,0,0,0,0
50,10,1,0.1,8,0.0028651338070631027,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,7,0.0021112561225891113,0.0,1,0,0,0,0,0,0,0
50,10,1,0.1,4,0.0026376950554549694,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,6,0.003467913717031479,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,5,0.006498129980172962,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,9,6.140354874078184,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,0,6.291597301140428,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,1,7.170116560533643,1.0,0,0,0,0,0,0,0,1
