J,K,N,p,seed,sim,runtime,identifiable,branch
50,10,10,0.3,2,0,1.8479131776839495,True,6
50,10,10,0.3,0,0,2.159692731918767,True,6
50,10,10,0.3,4,0,2.676498956978321,True,6
50,10,10,0.3,3,0,2.793403573334217,True,6
50,10,10,0.3,1,0,2.902254967018962,True,6
50,10,10,0.3,2,1,2.9774644672870636,True,6
50,10,10,0.3,0,1,2.8066562809981406,True,6
50,10,10,0.3,1,1,2.3318199068307877,True,6
50,10,10,0.3,3,1,3.1067915465682745,True,6
50,10,10,0.3,4,1,3.5356937889009714,True,6
50,10,10,0.3,2,2,3.4967592488974333,True,6
50,10,10,0.3,0,2,3.33247327292338,True,6
50,10,10,0.3,1,2,3.281716070137918,True,6
50,10,10,0.3,4,2,3.3473902428522706,True,6
50,10,10,0.3,2,3,2.1411851048469543,True,6
50,10,10,0.3,0,3,2.4055782789364457,True,6
50,10,10,0.3,3,2,5.173110317438841,True,6
50,10,10,0.3,1,3,2.928606990724802,True,6
50,10,10,0.3,2,4,2.7112837405875325,True,6
50,10,10,0.3,4,3,4.021083750762045,True,6
50,10,10,0.3,3,3,2.751283176243305,True,6
50,10,10,0.3,1,4,2.5429396983236074,True,6
50,10,10,0.3,0,4,4.200568869011477,True,6
50,10,10,0.3,4,4,2.7385747963562608,True,6
50,10,10,0.3,2,5,3.140416981652379,True,6
50,10,10,0.3,3,4,3.9848009515553713,True,6
50,10,10,0.3,1,5,3.659032665193081,True,6
50,10,10,0.3,0,5,3.481823946814984,True,6
50,10,10,0.3,2,6,3.119956354610622,True,6
50,10,10,0.3,4,5,3.528881066478789,True,6
50,10,10,0.3,3,5,2.2375086303800344,True,6
50,10,10,0.3,0,6,2.8284185831435025,True,6
50,10,10,0.3,1,6,3.4408945916220546,True,6
50,10,10,0.3,2,7,2.3829924054443836,True,6
50,10,10,0.3,4,6,2.551430692896247,True,6
50,10,10,0.3,3,6,2.7134840842336416,True,6
50,10,10,0.3,0,7,3.2676489690784365,True,6
50,10,10,0.3,1,7,3.7177660316228867,True,6
50,10,10,0.3,2,8,3.6257642079144716,True,6
50,10,10,0.3,4,7,3.4517078893259168,True,6
50,10,10,0.3,3,7,3.644979516044259,True,6
50,10,10,0.3,1,8,1.7780656730756164,True,6
50,10,10,0.3,0,8,2.609028627863154,True,6
50,10,10,0.3,2,9,2.193921889178455,True,6
50,10,10,0.3,4,8,2.396037339232862,True,6
50,10,10,0.3,3,8,2.6503746937960386,True,6
50,10,10,0.3,1,9,3.1787558561190963,True,6
50,10,10,0.3,0,9,3.7340855998918414,True,6
50,10,10,0.3,3,9,2.106433091685176,True,6
50,10,10,0.3,4,9,4.232180370017886,True,6
50,10,10,0.3,6,0,3.1672358382493258,True,6
50,10,10,0.3,7,0,3.4741939743980765,True,6
50,10,10,0.3,8,0,3.289052737876773,True,6
50,10,10,0.3,9,0,3.276445100083947,True,6
50,10,10,0.3,5,0,4.506673511001281,True,6
50,10,10,0.3,6,1,2.146347988396883,True,6
50,10,10,0.3,5,1,1.4911410490749404,True,6
50,10,10,0.3,8,1,3.127984340302646,True,6
50,10,10,0.3,7,1,4.177001882344484,True,6
50,10,10,0.3,9,1,3.5714270938187838,True,6
50,10,10,0.3,8,2,1.8030484709888697,True,6
50,10,10,0.3,6,2,3.3578300047665834,True,6
50,10,10,0.3,5,2,4.101005006930791,True,6
50,10,10,0.3,7,2,2.796347064897418,True,6
50,10,10,0.3,9,2,3.332977524958551,True,6
50,10,10,0.3,6,3,3.5738403014838696,True,6
50,10,10,0.3,7,3,2.300788102671504,True,6
