design,J,K,p,m,n,expected_n,n_identifiable,pct_identifiable,n_complete,pct_complete,n_two_column,pct_two_column,n_both_necessary,pct_both_necessary,n_no_pure_nodes,pct_no_pure_nodes,n_sat_called,pct_sat_called,conditional_denominator_identifiable,n_incomplete_given_identifiable,pct_incomplete_given_identifiable,n_no_pure_given_identifiable,pct_no_pure_given_identifiable,sum_J_basis,mean_J_basis,sum_basis_time,mean_basis_time,sum_identity_check_time,mean_identity_check_time,sum_two_col_check_time,mean_two_col_check_time,sum_three_col_check_time,mean_three_col_check_time,sum_sat_time,mean_sat_time,sum_preprocess_time,mean_preprocess_time,sum_algorithm_time,mean_algorithm_time,branch_counts
bernoulli,25,5,0.1,,10,10,8,80.0,4,40.0,8,80.0,8,80.0,0,0.0,4,40.0,8,4,50.0,0,0.0,53,5.3,0.0015345169231295586,0.00015345169231295586,0.0006276336498558521,6.276336498558521e-05,0.0005419165827333927,5.419165827333927e-05,0.0005796873010694981,5.7968730106949804e-05,0.09348176931962371,0.009348176931962372,0.0032837544567883015,0.00032837544567883016,0.09683677041903138,0.009683677041903139,"{""-1"": 0, ""2"": 2, ""3"": 0, ""4"": 4, ""5"": 0, ""6"": 4}"
bernoulli,25,5,0.3,,10,10,7,70.0,5,50.0,7,70.0,7,70.0,0,0.0,2,20.0,7,2,28.571428571428573,0,0.0,55,5.5,0.001795637421309948,0.0001795637421309948,0.0005419226363301277,5.419226363301277e-05,0.00046405382454395294,4.6405382454395296e-05,0.00030517578125,3.0517578125e-05,0.029432973824441433,0.0029432973824441433,0.0031067896634340286,0.00031067896634340286,0.03260370343923569,0.0032603703439235687,"{""-1"": 0, ""2"": 3, ""3"": 0, ""4"": 5, ""5"": 0, ""6"": 2}"
bernoulli,25,5,0.5,,10,10,10,100.0,0,0.0,10,100.0,10,100.0,0,0.0,10,100.0,10,10,100.0,0,0.0,78,7.8,0.0023985058069229126,0.00023985058069229127,0.0006569996476173401,6.569996476173401e-05,0.0013813474215567112,0.0001381347421556711,0.0014602257870137691,0.0001460225787013769,0.16978120477870107,0.016978120477870107,0.005897078663110733,0.0005897078663110733,0.17575847590342164,0.017575847590342163,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
bernoulli,25,5,0.7,,10,10,9,90.0,0,0.0,10,100.0,10,100.0,4,40.0,10,100.0,9,9,100.0,3,33.333333333333336,77,7.7,0.002055562101304531,0.0002055562101304531,0.0005949744954705238,5.9497449547052385e-05,0.0013407496735453606,0.00013407496735453605,0.0013887807726860046,0.00013887807726860047,0.12050830293446779,0.01205083029344678,0.00538006704300642,0.0005380067043006421,0.12626606319099665,0.012626606319099665,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1, ""6"": 9}"
bernoulli,25,5,0.9,,10,10,0,0.0,0,0.0,4,40.0,0,0.0,10,100.0,0,0.0,0,0,,0,,53,5.3,0.0015105679631233215,0.00015105679631233215,0.0005938527174293995,5.9385271742939946e-05,0.0009419810958206654,9.419810958206653e-05,0.00024024071171879768,2.402407117187977e-05,0.0,0.0,0.003286642488092184,0.0003286642488092184,0.0033773635514080524,0.00033773635514080527,"{""-1"": 0, ""2"": 6, ""3"": 4, ""4"": 0, ""5"": 0, ""6"": 0}"
bernoulli,25,10,0.1,,10,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,,106,10.6,0.0022872197441756725,0.00022872197441756726,0.00080875214189291,8.0875214189291e-05,0.002135366201400757,0.0002135366201400757,0.0,0.0,0.0,0.0,0.005231338087469339,0.000523133808746934,0.005363222677260637,0.0005363222677260638,"{""-1"": 0, ""2"": 10, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0}"
bernoulli,25,10,0.3,,10,10,9,90.0,0,0.0,9,90.0,9,90.0,0,0.0,9,90.0,9,9,100.0,0,0.0,201,20.1,0.004213606473058462,0.0004213606473058462,0.0010420619510114193,0.00010420619510114193,0.009233149234205484,0.0009233149234205484,0.009617180563509464,0.0009617180563509464,0.1914536920376122,0.01914536920376122,0.02410599822178483,0.002410599822178483,0.21565507259219885,0.021565507259219886,"{""-1"": 0, ""2"": 1, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 9}"
bernoulli,25,10,0.5,,10,10,8,80.0,0,0.0,8,80.0,8,80.0,10,100.0,8,80.0,8,8,100.0,8,100.0,218,21.8,0.004481218755245209,0.0004481218755245209,0.0009483513422310352,9.483513422310352e-05,0.009569242596626282,0.0009569242596626282,0.00819370523095131,0.0008193705230951309,1.0954573606140912,0.10954573606140912,0.023192517925053835,0.0023192517925053834,1.1187391020357609,0.1118739102035761,"{""-1"": 0, ""2"": 2, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 8}"
bernoulli,25,10,0.7,,10,10,0,0.0,0,0.0,7,70.0,4,40.0,10,100.0,4,40.0,0,0,,0,,175,17.5,0.004059946164488792,0.00040599461644887926,0.0009471396915614605,9.471396915614605e-05,0.007627107203006744,0.0007627107203006745,0.005388855468481779,0.0005388855468481779,0.38868486881256104,0.038868486881256104,0.018023048527538776,0.0018023048527538777,0.40859019849449396,0.040859019849449396,"{""-1"": 0, ""2"": 3, ""3"": 3, ""4"": 0, ""5"": 4, ""6"": 0}"
bernoulli,25,10,0.9,,10,10,0,0.0,0,0.0,0,0.0,0,0.0,10,100.0,0,0.0,0,0,,0,,106,10.6,0.00248435465618968,0.000248435465618968,0.0008251159451901913,8.251159451901912e-05,0.0018387562595307827,0.00018387562595307828,0.0,0.0,0.0,0.0,0.005148226860910654,0.0005148226860910654,0.005237610545009375,0.0005237610545009375,"{""-1"": 0, ""2"": 10, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0}"
bernoulli,50,5,0.1,,10,10,9,90.0,9,90.0,9,90.0,9,90.0,0,0.0,0,0.0,9,0,0.0,0,0.0,50,5.0,0.002029525116086006,0.00020295251160860062,0.0005782395601272583,5.782395601272583e-05,7.259845733642578e-05,7.259845733642578e-06,0.0,0.0,0.0,0.0,0.0026803631335496902,0.000268036313354969,0.002739668358117342,0.0002739668358117342,"{""-1"": 0, ""2"": 1, ""3"": 0, ""4"": 9, ""5"": 0, ""6"": 0}"
bernoulli,50,5,0.3,,10,10,10,100.0,8,80.0,10,100.0,10,100.0,0,0.0,2,20.0,10,2,20.0,0,0.0,55,5.5,0.0028565553948283195,0.00028565553948283194,0.0006391676142811775,6.391676142811776e-05,0.00027084071189165115,2.7084071189165115e-05,0.0002673612907528877,2.6736129075288773e-05,0.028578195720911026,0.0028578195720911025,0.004033925011754036,0.0004033925011754036,0.03267305996268988,0.0032673059962689877,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 8, ""5"": 0, ""6"": 2}"
bernoulli,50,5,0.5,,10,10,10,100.0,2,20.0,10,100.0,10,100.0,0,0.0,8,80.0,10,8,80.0,0,0.0,71,7.1,0.0034123933874070644,0.00034123933874070645,0.0006395275704562664,6.395275704562664e-05,0.0010952642187476158,0.00010952642187476159,0.0010970383882522583,0.00010970383882522584,0.10740548884496093,0.010740548884496093,0.006244223564863205,0.0006244223564863205,0.11372379818931222,0.011372379818931222,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 0, ""6"": 8}"
bernoulli,50,5,0.7,,10,10,10,100.0,0,0.0,10,100.0,10,100.0,1,10.0,10,100.0,10,10,100.0,1,10.0,98,9.8,0.003166248556226492,0.00031662485562264917,0.0006229798309504986,6.229798309504986e-05,0.001516980119049549,0.0001516980119049549,0.0013989456929266453,0.00013989456929266452,0.12657817639410496,0.012657817639410495,0.006705154199153185,0.0006705154199153184,0.1333519909530878,0.01333519909530878,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
bernoulli,50,5,0.9,,10,10,0,0.0,0,0.0,10,100.0,1,10.0,10,100.0,1,10.0,0,0,,0,,66,6.6,0.002181839197874069,0.00021818391978740693,0.0005846470594406128,5.846470594406128e-05,0.0013122055679559708,0.00013122055679559708,0.000891413539648056,8.91413539648056e-05,0.013093563728034496,0.0013093563728034496,0.004970105364918709,0.0004970105364918709,0.01861316990107298,0.0018613169901072978,"{""-1"": 0, ""2"": 0, ""3"": 9, ""4"": 0, ""5"": 1, ""6"": 0}"
bernoulli,50,10,0.1,,10,10,8,80.0,2,20.0,8,80.0,8,80.0,0,0.0,6,60.0,8,6,75.0,0,0.0,113,11.3,0.0038461200892925262,0.0003846120089292526,0.0009077936410903931,9.077936410903931e-05,0.0047111231833696365,0.00047111231833696365,0.006658286787569523,0.0006658286787569523,0.1341375489719212,0.013413754897192121,0.01612332370132208,0.0016123323701322078,0.15035197604447603,0.015035197604447603,"{""-1"": 0, ""2"": 2, ""3"": 0, ""4"": 2, ""5"": 0, ""6"": 6}"
