J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,10,1,0.1,2,0.005417587235569954,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,0,19.592019885778427,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,3,0.0017920229583978653,0.0,1,0,0,0,0,0,0,0
50,10,1,0.1,7,0.002019258216023445,0.0,1,0,0,0,0,0,0,0
50,10,1,0.1,6,0.003738631960004568,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,4,0.0026466846466064453,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,5,0.006416520103812218,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,1,45.36090120766312,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,8,0.0029754918068647385,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,9,48.54871314577758,1.0,0,0,0,0,0,0,0,1
