J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,10,1,0.1,0,10.599596769548953,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,3,0.0017564790323376656,0.0,1,0,0,0,0,0,0,0
50,10,1,0.1,2,0.006651170086115599,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,4,0.0027700448408722878,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,5,0.004809800069779158,1.0,0,0,0,0,0,1,0,0
50,10,1,0.1,1,51.67775178235024,1.0,0,0,0,0,0,0,0,1
50,10,1,0.1,7,0.002196257933974266,0.0,1,0,0,0,0,0,0,0
50,10,1,0.1,8,0.0028733909130096436,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,6,0.0035732686519622803,0.0,0,0,0,1,0,0,0,0
50,10,1,0.1,9,15.796840114519,1.0,0,0,0,0,0,0,0,1
