J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
15,8,10,0.1,2,0.000279854703694582,0.0,8,1,0,1,0,0,0,0
15,8,10,0.1,1,0.00018117064610123634,0.0,9,1,0,0,0,0,0,0
15,8,10,0.1,4,0.00026184981688857076,0.0,7,1,0,2,0,0,0,0
15,8,10,0.1,3,0.00019916407763957976,0.0,8,1,0,1,0,0,0,0
15,8,10,0.1,0,0.0002653826028108597,0.0,8,0,0,2,0,0,0,0
15,8,10,0.1,5,0.000178513303399086,0.0,10,0,0,0,0,0,0,0
15,8,10,0.1,7,0.00021174619905650616,0.0,9,1,0,0,0,0,0,0
15,8,10,0.1,6,0.00018982607871294023,0.0,9,1,0,0,0,0,0,0
15,8,10,0.1,8,0.00028731953352689743,0.0,9,0,0,1,0,0,0,0
15,8,10,0.1,9,0.07584392176941038,0.1,9,0,0,0,0,0,0,1
