J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,10,1,0.2,8,17.73222822882235,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,6,21.09785665664822,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,0,45.60884621599689,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,1,68.62848906591535,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,3,69.88863482698798,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,2,70.07498118467629,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,7,87.005630671978,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,5,86.71153004281223,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,4,95.4665804086253,0.0,0,0,0,0,0,0,1,0
50,10,1,0.2,9,157.27092301659286,0.0,0,0,0,0,0,0,1,0
