J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,15,10,0.2,16,102.23098115781322,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,37,104.15533598968759,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,48,107.19879218172282,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,80,102.14357714904472,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,26,126.11326217912138,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,7,130.1890250980854,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,98,117.58994100857527,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,54,126.31746503082104,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,53,126.42556313518435,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,13,132.87325356472283,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,34,130.64305252199992,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,70,125.07351226750761,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,51,129.05921434592454,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,42,130.19254078813827,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,30,133.8654848490143,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,49,130.79966166971718,0.8,0,0,0,2,0,0,0,8
50,15,10,0.2,38,134.21784254945814,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,12,138.16794926030562,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,96,128.17079448150471,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,82,129.12080454807727,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,75,132.71692017298193,0.8,0,0,0,2,0,0,0,8
50,15,10,0.2,63,133.1902187807951,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,5,143.66933891465888,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,22,140.99297217372805,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,10,144.2453363790177,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,0,157.5771439967677,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,68,135.8283050183207,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,77,136.526920092199,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,61,136.63613346638158,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,99,134.24127883827313,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,41,140.81155740669928,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,15,147.6210841961205,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,69,138.62159075532108,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,6,150.57196455467493,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,81,139.16918145557867,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,52,145.69251918401568,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,71,143.91928986841813,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,9,154.09911844888703,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,95,141.87003957107663,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,56,149.07019844428868,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,85,143.78012424390764,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,47,150.8358519426547,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,3,157.81746986461803,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,14,158.1110697069671,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,90,145.5541737338528,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,32,155.1423851640895,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,50,152.51879196260126,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,44,153.04419348840602,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,8,159.7199720744975,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,46,153.46952789071946,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,2,160.8473839888349,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,74,151.8281105834525,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,43,155.2698826482985,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,21,158.66103603979573,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,35,158.82829923275858,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,88,149.40640076510607,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,62,152.54106621704994,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,66,153.8379813607782,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,36,160.90910705495625,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,17,165.0611086265184,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,4,165.95022171745077,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,31,166.96372766252608,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,65,161.07210837136955,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,79,162.3265846023336,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,59,166.2638402699493,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,60,163.14135276563465,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,89,160.12614643331617,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,57,166.7991564881173,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,40,167.02679092288017,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,83,161.15712837576865,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,23,173.02325843228027,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,18,177.52239608727396,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,86,165.6005023173988,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,78,168.99490219019353,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,84,167.11164924073964,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,64,170.40439823465422,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,92,167.730644693505,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,27,178.664309670683,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,11,182.02215859293938,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,93,169.8962816148065,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,58,176.43671894529834,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,67,175.472751413472,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,1,185.76910656900145,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,33,182.8031242487952,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,29,186.05801133420317,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,55,184.2828160598874,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,20,190.4295853461139,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,39,194.66186885857024,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,91,189.04696572935208,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,28,198.97512753065675,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,87,189.78392086867242,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,76,194.90449288485107,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,72,195.48983586849644,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,73,199.97129326062276,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,97,196.9488130335696,0.9,0,0,0,1,0,0,0,9
50,15,10,0.2,25,226.49105632263235,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,94,271.77771085035056,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,19,343.06897020861504,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,24,377.07272158619014,1.0,0,0,0,0,0,0,0,10
50,15,10,0.2,45,403.11017014309766,1.0,0,0,0,0,0,0,0,10
