J,K,N,p,seed,sim,runtime,identifiable,branch
50,15,10,0.2,0,0,117.15679826028645,True,6
50,15,10,0.2,8,0,138.86130381934345,True,6
50,15,10,0.2,2,0,177.96073163393885,True,6
50,15,10,0.2,4,0,189.43072013556957,True,6
50,15,10,0.2,12,0,124.99713222496212,True,6
50,15,10,0.2,3,0,232.15098941139877,True,6
50,15,10,0.2,7,0,201.04721350083128,True,6
50,15,10,0.2,10,0,220.0260300678201,True,6
50,15,10,0.2,15,0,134.36343964375556,True,6
50,15,10,0.2,1,0,289.0581740811467,True,6
50,15,10,0.2,13,0,184.0319363847375,True,6
50,15,10,0.2,20,0,126.23863282054663,True,6
50,15,10,0.2,6,0,313.5585795994848,True,6
50,15,10,0.2,5,0,325.7947403732687,True,6
50,15,10,0.2,26,0,113.28807760216296,True,6
50,15,10,0.2,9,0,306.1649423893541,True,6
50,15,10,0.2,14,0,247.02844449714758,True,6
50,15,10,0.2,27,0,163.86531187593937,True,6
50,15,10,0.2,0,1,270.6541987489909,True,6
50,15,10,0.2,1,1,100.61730498913676,True,6
50,15,10,0.2,23,0,179.50964426621795,True,6
50,15,10,0.2,49,0,0.11984776239842176,0,2
50,15,10,0.2,29,0,171.21049023797968,True,6
50,15,10,0.2,19,0,277.54142710287124,True,6
50,15,10,0.2,8,1,263.08187770470977,True,6
50,15,10,0.2,21,0,252.92825252376497,True,6
50,15,10,0.2,3,1,207.11544902808964,True,6
50,15,10,0.2,7,1,212.60343547724187,True,6
50,15,10,0.2,2,1,268.2875024359673,True,6
50,15,10,0.2,42,0,111.81570055615157,True,6
50,15,10,0.2,32,0,204.58950119279325,True,6
50,15,10,0.2,24,0,235.0637060943991,True,6
50,15,10,0.2,11,0,361.7675479874015,True,6
50,15,10,0.2,57,0,0.08982471749186516,0,2
50,15,10,0.2,16,0,309.25740125693846,True,6
50,15,10,0.2,22,0,252.33143511600792,True,6
50,15,10,0.2,22,1,0.17056267149746418,0,2
50,15,10,0.2,12,1,295.6615891493857,True,6
50,15,10,0.2,25,0,301.88009677268565,True,6
50,15,10,0.2,34,0,247.60709671024233,True,6
50,15,10,0.2,36,0,217.11824420839548,True,6
50,15,10,0.2,35,0,248.9355830727145,True,6
50,15,10,0.2,40,0,190.5686050048098,True,6
50,15,10,0.2,39,0,202.214879443869,True,6
50,15,10,0.2,10,1,273.38650942593813,True,6
50,15,10,0.2,14,1,187.4381123050116,True,6
50,15,10,0.2,28,0,362.96271164901555,True,6
50,15,10,0.2,20,1,275.6730082388967,True,6
50,15,10,0.2,29,1,174.575606790022,True,6
50,15,10,0.2,17,0,438.2981411907822,True,6
50,15,10,0.2,6,1,278.8516905698925,True,6
50,15,10,0.2,15,1,322.87922692950815,True,6
50,15,10,0.2,41,0,283.4620714131743,True,6
50,15,10,0.2,39,1,83.53607913665473,True,6
50,15,10,0.2,48,0,229.48135920986533,True,6
50,15,10,0.2,19,1,208.2025271737948,True,6
50,15,10,0.2,44,0,273.4094518888742,True,6
50,15,10,0.2,47,0,277.3032399080694,True,6
50,15,10,0.2,46,0,283.6350581198931,True,6
50,15,10,0.2,49,1,265.3031687196344,True,6
50,15,10,0.2,4,1,478.91086989082396,True,6
50,15,10,0.2,16,1,206.22450124903116,True,6
50,15,10,0.2,54,0,248.12354668043554,True,6
50,15,10,0.2,17,1,87.85906651616096,True,6
50,15,10,0.2,37,0,375.85222886130214,True,6
50,15,10,0.2,52,0,287.4674016009085,True,6
50,15,10,0.2,1,2,299.2364003667608,True,6
50,15,10,0.2,32,1,241.01496784947813,True,6
50,15,10,0.2,53,0,265.586825883016,True,6
50,15,10,0.2,22,2,227.46985773090273,True,6
50,15,10,0.2,55,0,270.94052542187274,True,6
50,15,10,0.2,30,0,457.11847152467817,True,6
50,15,10,0.2,2,2,256.25031458120793,True,6
50,15,10,0.2,66,0,183.75879210233688,True,6
50,15,10,0.2,24,1,256.7278397642076,True,6
50,15,10,0.2,23,1,317.21447844430804,True,6
50,15,10,0.2,27,1,337.1855340078473,True,6
50,15,10,0.2,58,0,257.28216999955475,True,6
50,15,10,0.2,50,0,323.9180508656427,True,6
50,15,10,0.2,5,1,397.51682843640447,True,6
50,15,10,0.2,63,0,203.9054657369852,True,6
50,15,10,0.2,61,0,276.9919462259859,True,6
50,15,10,0.2,33,0,494.7508422639221,True,6
50,15,10,0.2,41,1,119.72632467839867,True,6
50,15,10,0.2,64,0,219.5908917998895,True,6
50,15,10,0.2,43,0,404.878111070022,True,6
50,15,10,0.2,40,1,221.78308731410652,True,6
50,15,10,0.2,3,2,315.3617886919528,True,6
50,15,10,0.2,18,0,601.6638405490667,True,6
50,15,10,0.2,42,1,310.4782320288941,True,6
50,15,10,0.2,39,2,144.96813994832337,True,6
50,15,10,0.2,45,0,417.08231475390494,True,6
50,15,10,0.2,0,2,399.1566003113985,True,6
50,15,10,0.2,57,1,336.1193410381675,True,6
50,15,10,0.2,35,1,270.982070713304,True,6
50,15,10,0.2,31,0,556.6573299635202,True,6
50,15,10,0.2,7,2,359.1708928607404,True,6
50,15,10,0.2,76,0,224.86469703167677,True,6
50,15,10,0.2,59,0,347.4364296081476,True,6
50,15,10,0.2,73,0,231.45598459616303,True,6
50,15,10,0.2,10,2,266.42765119788237,True,6
50,15,10,0.2,38,0,530.5641461201012,True,6
50,15,10,0.2,34,1,315.7697133170441,True,6
50,15,10,0.2,55,1,139.72743538673967,True,6
50,15,10,0.2,21,1,404.26356346718967,True,6
50,15,10,0.2,13,1,534.9789528716356,True,6
50,15,10,0.2,13,2,0.16742494329810143,0,2
50,15,10,0.2,56,0,391.53776310011744,True,6
50,15,10,0.2,70,0,304.7304993569851,True,6
50,15,10,0.2,77,0,244.41286259697517,True,6
50,15,10,0.2,8,2,426.80448639020324,True,6
50,15,10,0.2,66,1,155.43284992687404,True,6
50,15,10,0.2,72,0,282.99494205601513,True,6
50,15,10,0.2,78,0,254.93651461414993,True,6
50,15,10,0.2,9,1,538.2898410204798,True,6
50,15,10,0.2,52,1,196.313566646073,True,6
50,15,10,0.2,28,1,314.8112213537097,True,6
50,15,10,0.2,36,1,372.23730537854135,True,6
50,15,10,0.2,20,2,310.6488627232611,True,6
50,15,10,0.2,62,0,408.8651045002043,True,6
50,15,10,0.2,51,0,505.0558007825166,True,6
50,15,10,0.2,25,1,393.1004604883492,True,6
50,15,10,0.2,63,1,192.69099733396433,True,6
50,15,10,0.2,44,1,278.13776421919465,True,6
50,15,10,0.2,14,2,366.89833603193983,True,6
50,15,10,0.2,37,1,243.5766786672175,True,6
50,15,10,0.2,12,3,302.06757351383567,True,6
50,15,10,0.2,47,1,285.02646033652127,True,6
50,15,10,0.2,16,2,264.07467009697575,True,6
50,15,10,0.2,69,0,389.4299556510523,True,6
50,15,10,0.2,3,3,189.2843076903373,True,6
50,15,10,0.2,6,2,353.03036958165467,True,6
50,15,10,0.2,30,1,249.342285069637,True,6
50,15,10,0.2,53,1,258.94682051613927,True,6
50,15,10,0.2,53,2,0.1141449436545372,0,2
50,15,10,0.2,19,2,314.64290423784405,True,6
50,15,10,0.2,87,0,192.18472061958164,True,6
50,15,10,0.2,71,0,376.75952935405076,True,6
50,15,10,0.2,80,0,318.29247517092153,True,6
50,15,10,0.2,11,1,509.85043638106436,True,6
50,15,10,0.2,82,0,292.2448835391551,True,6
50,15,10,0.2,18,1,212.94391940161586,True,6
50,15,10,0.2,2,3,265.85222898516804,True,6
50,15,10,0.2,75,0,389.35698391124606,True,6
50,15,10,0.2,39,3,208.24586457200348,True,6
50,15,10,0.2,24,2,273.3230770882219,True,6
50,15,10,0.2,1,3,298.42557952273637,True,6
50,15,10,0.2,21,2,150.6177640464157,True,6
50,15,10,0.2,54,1,323.8471957370639,True,6
50,15,10,0.2,26,1,675.8732366077602,True,6
50,15,10,0.2,27,2,292.8800476323813,True,6
50,15,10,0.2,88,0,213.10201488342136,True,6
50,15,10,0.2,17,2,331.16676231101155,True,6
50,15,10,0.2,65,0,493.5040817838162,True,6
50,15,10,0.2,65,1,0.17931156791746616,0,2
50,15,10,0.2,72,1,150.03973539359868,True,6
50,15,10,0.2,67,0,464.7846733275801,True,6
50,15,10,0.2,5,2,308.2949684970081,True,6
50,15,10,0.2,74,0,449.6978889014572,True,6
50,15,10,0.2,58,1,325.9117589443922,True,6
50,15,10,0.2,84,0,310.133563676849,True,6
50,15,10,0.2,49,2,382.58273335918784,True,6
50,15,10,0.2,43,1,311.79985893703997,True,6
50,15,10,0.2,61,1,318.23226378671825,True,6
50,15,10,0.2,29,2,463.8523380010156,True,6
50,15,10,0.2,34,2,215.95223267376423,True,6
50,15,10,0.2,32,2,366.57609430886805,True,6
50,15,10,0.2,37,2,139.17070891149342,True,6
50,15,10,0.2,60,0,620.1461606044322,True,6
50,15,10,0.2,42,2,323.1360477190465,True,6
50,15,10,0.2,57,2,292.04257215745747,True,6
50,15,10,0.2,89,0,262.58174047619104,True,6
50,15,10,0.2,66,2,231.41051289625466,True,6
50,15,10,0.2,9,2,216.67099704500288,True,6
50,15,10,0.2,69,1,155.75737007008865,True,6
50,15,10,0.2,48,1,469.1270464360714,True,6
50,15,10,0.2,59,1,290.2662844993174,True,6
50,15,10,0.2,62,1,199.74829799868166,True,6
50,15,10,0.2,76,1,292.175680058077,True,6
50,15,10,0.2,85,0,366.81155210733414,True,6
50,15,10,0.2,10,3,281.8350933708716,True,6
50,15,10,0.2,23,2,391.99704289995134,True,6
50,15,10,0.2,4,2,435.32523356191814,True,6
50,15,10,0.2,63,2,188.5367206260562,True,6
50,15,10,0.2,50,1,397.4105288097635,True,6
50,15,10,0.2,40,2,372.3096861420199,True,6
50,15,10,0.2,36,2,225.52248541265726,True,6
50,15,10,0.2,56,1,272.08120806887746,True,6
50,15,10,0.2,87,1,166.22827864438295,True,6
50,15,10,0.2,79,0,514.5164174456149,True,6
50,15,10,0.2,8,3,268.9103046040982,True,6
50,15,10,0.2,83,0,454.3667662329972,True,6
50,15,10,0.2,46,1,484.9808170311153,True,6
50,15,10,0.2,53,3,184.24980973638594,True,6
50,15,10,0.2,38,1,304.4916581809521,True,6
50,15,10,0.2,17,3,131.39578640647233,True,6
50,15,10,0.2,45,1,359.272666439414,True,6
50,15,10,0.2,3,4,212.32391677983105,True,6
50,15,10,0.2,14,3,237.44009237899445,True,6
50,15,10,0.2,55,2,323.0962068871595,True,6
50,15,10,0.2,52,2,282.4646590882912,True,6
50,15,10,0.2,26,2,161.45144660025835,True,6
50,15,10,0.2,77,1,308.325884958962,True,6
50,15,10,0.2,81,0,494.92158018797636,True,6
50,15,10,0.2,33,1,429.4529786910862,True,6
50,15,10,0.2,90,0,347.02651287894696,True,6
50,15,10,0.2,13,3,337.4338858500123,True,6
50,15,10,0.2,11,2,218.57908301614225,True,6
50,15,10,0.2,70,1,332.7384342942387,True,6
50,15,10,0.2,31,1,389.96349167265,True,6
50,15,10,0.2,15,2,582.7453421261162,True,6
50,15,10,0.2,41,2,458.3375301156193,True,6
50,15,10,0.2,51,1,298.63851564377546,True,6
50,15,10,0.2,18,2,235.9126313365996,True,6
50,15,10,0.2,78,1,336.488353792578,True,6
50,15,10,0.2,16,3,274.6522915889509,True,6
50,15,10,0.2,72,2,194.59258446656168,True,6
50,15,10,0.2,32,3,157.41305344738066,True,6
