J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,15,1,0.1,8,0.03722847905009985,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,3,0.0619979202747345,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,4,0.07639881037175655,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,0,72.65393994469196,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,1,82.10467140004039,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,9,62.60257473960519,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,6,69.99065139517188,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,2,95.4441461218521,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,7,106.82337688189,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,5,132.73993962444365,1.0,0,0,0,0,0,0,0,1
