J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,15,1,0.1,3,0.06079732719808817,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,4,0.07787910103797913,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,8,0.03590066824108362,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,0,58.15875062905252,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,9,66.99175181705505,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,6,70.60323605593294,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,1,89.75565899861977,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,2,90.63922232761979,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,7,98.84662791900337,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,5,362.440307142213,1.0,0,0,0,0,0,0,0,1
