J,K,N,p,seed,sim,runtime,identifiable,branch
50,20,10,0.3,0,0,37.37343390844762,1,6
50,20,10,0.3,2,0,138.3703581057489,1,6
50,20,10,0.3,1,0,157.9778743572533,1,6
50,20,10,0.3,2,1,74.78842060267925,1,6
50,20,10,0.3,1,1,137.2483310997486,1,6
50,20,10,0.3,2,2,120.87631458044052,1,6
50,20,10,0.3,1,2,94.20269168354571,1,6
50,20,10,0.3,2,3,147.40193784050643,1,6
50,20,10,0.3,2,4,76.05474899709225,1,6
50,20,10,0.3,2,5,81.82388141565025,1,6
50,20,10,0.3,0,1,625.1020989641547,1,6
50,20,10,0.3,2,6,117.45457267016172,1,6
50,20,10,0.3,2,7,84.95632164366543,1,6
50,20,10,0.3,1,3,597.6140281725675,1,6
50,20,10,0.3,1,4,81.56170576624572,1,6
50,20,10,0.3,2,8,263.8598045632243,1,6
50,20,10,0.3,1,5,84.22386890277267,1,6
50,20,10,0.3,2,9,113.9309727922082,1,6
50,20,10,0.3,1,6,79.74427401274443,1,6
50,20,10,0.3,3,0,97.71309506893158,1,6
50,20,10,0.3,1,7,103.33993830159307,1,6
50,20,10,0.3,4,0,150.9242346715182,1,6
50,20,10,0.3,3,1,150.49206121265888,1,6
50,20,10,0.3,1,8,141.3192425649613,1,6
50,20,10,0.3,0,2,878.7371664363891,1,6
50,20,10,0.3,3,2,115.31502633169293,1,6
50,20,10,0.3,0,3,76.28292966075242,1,6
50,20,10,0.3,1,9,153.8602952118963,1,6
50,20,10,0.3,4,1,206.02624349296093,1,6
50,20,10,0.3,5,0,80.64460227265954,1,6
50,20,10,0.3,0,4,131.82300827279687,1,6
50,20,10,0.3,6,0,133.086513441056,1,6
50,20,10,0.3,3,3,258.55340926907957,1,6
50,20,10,0.3,0,5,127.29927005805075,1,6
50,20,10,0.3,3,4,63.60517650283873,1,6
50,20,10,0.3,6,1,144.43343050777912,1,6
50,20,10,0.3,5,1,264.25415451452136,1,6
50,20,10,0.3,4,2,265.68147908709943,1,6
50,20,10,0.3,0,6,88.95722540840507,1,6
50,20,10,0.3,3,5,85.61763242818415,1,6
50,20,10,0.3,0,7,39.2069325633347,1,6
50,20,10,0.3,5,2,72.57620292715728,1,6
50,20,10,0.3,4,3,88.56072477065027,1,6
50,20,10,0.3,5,3,139.48920920863748,1,6
50,20,10,0.3,0,8,157.5963502395898,1,6
50,20,10,0.3,4,4,131.1017461847514,1,6
50,20,10,0.3,3,6,185.4470745921135,1,6
50,20,10,0.3,4,5,52.800083016976714,1,6
50,20,10,0.3,3,7,102.45233352854848,1,6
50,20,10,0.3,6,2,357.25493518076837,1,6
50,20,10,0.3,5,4,168.06036500260234,1,6
50,20,10,0.3,3,8,56.529275968670845,1,6
50,20,10,0.3,4,6,130.16699463687837,1,6
50,20,10,0.3,6,3,57.80258378945291,1,6
50,20,10,0.3,0,9,332.32755603455007,1,6
50,20,10,0.3,4,7,163.9859751854092,1,6
50,20,10,0.3,5,5,231.31241232901812,1,6
50,20,10,0.3,4,8,55.52377986907959,1,6
50,20,10,0.3,3,9,223.71226173453033,1,6
50,20,10,0.3,5,6,77.62512036412954,1,6
50,20,10,0.3,4,9,94.72637656331062,1,6
50,20,10,0.3,8,0,97.28633286431432,1,6
50,20,10,0.3,5,7,143.2125015836209,1,6
50,20,10,0.3,7,0,254.47538030706346,1,6
50,20,10,0.3,8,1,136.35129065439105,1,6
50,20,10,0.3,5,8,60.85080797970295,1,6
50,20,10,0.3,7,1,80.8256616126746,1,6
50,20,10,0.3,8,2,80.30543999187648,1,6
50,20,10,0.3,5,9,61.16770327463746,1,6
50,20,10,0.3,7,2,161.51643409579992,1,6
50,20,10,0.3,8,3,129.12011925689876,1,6
50,20,10,0.3,8,4,76.64390690810978,1,6
50,20,10,0.3,6,4,812.8246180210263,1,6
50,20,10,0.3,7,3,170.00345256738365,1,6
50,20,10,0.3,7,4,60.01371947303414,1,6
50,20,10,0.3,8,5,158.30887486599386,1,6
50,20,10,0.3,6,5,148.70618652552366,1,6
50,20,10,0.3,8,6,142.70680649206042,1,6
50,20,10,0.3,6,6,129.38793490082026,1,6
50,20,10,0.3,7,5,207.4484761916101,1,6
50,20,10,0.3,6,7,74.22883755341172,1,6
50,20,10,0.3,8,7,115.36649918742478,1,6
50,20,10,0.3,8,8,79.87548462674022,1,6
50,20,10,0.3,8,9,99.35943882353604,1,6
50,20,10,0.3,7,6,289.83065351098776,1,6
50,20,10,0.3,6,8,244.72745307721198,1,6
50,20,10,0.3,6,9,69.29814333841205,1,6
50,20,10,0.3,9,0,114.104711253196,1,6
50,20,10,0.3,7,7,187.20705522038043,1,6
50,20,10,0.3,9,1,52.26822339557111,1,6
50,20,10,0.3,7,8,110.64984192326665,1,6
50,20,10,0.3,7,9,88.19175357557833,1,6
50,20,10,0.3,9,2,395.76973939687014,1,6
50,20,10,0.3,9,3,318.92561239749193,1,6
50,20,10,0.3,9,4,176.05432166345417,1,6
50,20,10,0.3,9,5,105.39240677841008,1,6
50,20,10,0.3,9,6,71.9673432521522,1,6
50,20,10,0.3,9,7,145.35473147407174,1,6
50,20,10,0.3,9,8,55.14253864996135,1,6
50,20,10,0.3,9,9,42.55406487733126,1,6
