J,K,N,p,seed,sim,runtime,identifiable,branch
100,10,10,0.1,0,0,0.0035459930077195168,1,4
100,10,10,0.1,0,1,0.0035994110512547195,1,4
100,10,10,0.1,0,2,0.003153220983222127,1,4
100,10,10,0.1,0,3,0.00315168802626431,1,4
100,10,10,0.1,0,4,0.003122553986031562,1,4
100,10,10,0.1,0,5,0.0031102659995667636,1,4
100,10,10,0.1,0,6,0.0031272320193238556,1,4
100,10,10,0.1,0,7,0.20122735598124564,1,6
100,10,10,0.1,0,8,0.21635991398943588,1,6
100,10,10,0.1,0,9,0.003308298997581005,1,4
100,10,10,0.1,2,0,0.004398442804813385,1,4
100,10,10,0.1,2,1,0.0038945795968174934,1,4
100,10,10,0.1,1,0,0.2372844209894538,1,6
100,10,10,0.1,1,1,0.0032943375408649445,1,4
100,10,10,0.1,1,2,0.0031433766707777977,1,4
100,10,10,0.1,1,3,0.003124142996966839,1,4
100,10,10,0.1,1,4,0.00311930850148201,1,4
100,10,10,0.1,2,2,0.2000335417687893,1,6
100,10,10,0.1,2,3,0.0038043558597564697,1,4
100,10,10,0.1,2,4,0.0033972961828112602,1,4
100,10,10,0.1,2,5,0.0033829957246780396,1,4
100,10,10,0.1,2,6,0.003381109796464443,1,4
100,10,10,0.1,1,5,0.20502133388072252,1,6
100,10,10,0.1,1,6,0.0036780908703804016,1,4
100,10,10,0.1,1,7,0.0031634438782930374,1,4
100,10,10,0.1,1,8,0.0033466843888163567,1,4
100,10,10,0.1,1,9,0.003116860054433346,1,4
100,10,10,0.1,2,7,0.23198766820132732,1,6
100,10,10,0.1,2,8,0.003518523648381233,1,4
100,10,10,0.1,2,9,0.003360642120242119,1,4
100,10,10,0.1,4,0,0.0035569029860198498,1,4
100,10,10,0.1,4,1,0.0035744078923016787,1,4
100,10,10,0.1,4,2,0.0031598801724612713,1,4
100,10,10,0.1,4,3,0.003136951941996813,1,4
100,10,10,0.1,4,4,0.003111607162281871,1,4
100,10,10,0.1,4,5,0.00315101002342999,1,4
100,10,10,0.1,4,6,0.0031505110673606396,1,4
100,10,10,0.1,3,0,0.21501765307039022,1,6
100,10,10,0.1,4,7,0.2258895537815988,1,6
100,10,10,0.1,4,8,0.0037243899423629045,1,4
100,10,10,0.1,4,9,0.004994917893782258,1,4
100,10,10,0.1,3,1,0.2885816916823387,1,6
100,10,10,0.1,3,2,0.0034862393513321877,1,4
100,10,10,0.1,3,3,0.0033234087750315666,1,4
100,10,10,0.1,3,4,0.003300759010016918,1,4
100,10,10,0.1,3,5,0.16623553168028593,1,6
100,10,10,0.1,3,6,0.0037947455421090126,1,4
100,10,10,0.1,3,7,0.0033230893313884735,1,4
100,10,10,0.1,3,8,0.19961422495543957,1,6
100,10,10,0.1,3,9,0.003379836678504944,1,4
100,10,10,0.1,5,0,0.0035853534936904907,1,4
100,10,10,0.1,5,1,0.0036158598959445953,1,4
100,10,10,0.1,5,2,0.003177194856107235,1,4
100,10,10,0.1,5,3,0.003172631375491619,1,4
100,10,10,0.1,5,4,0.0031747128814458847,1,4
