J,K,N,p,seed,sim,runtime,identifiable,branch
100,5,10,0.7,0,0,0.003956141881644726,1,6
100,5,10,0.7,0,1,0.0048077525570988655,1,6
100,5,10,0.7,0,2,0.00398738868534565,1,6
100,5,10,0.7,0,3,0.004059917293488979,1,6
100,5,10,0.7,0,4,0.004052253440022469,1,6
100,5,10,0.7,0,5,0.00453371275216341,1,6
100,5,10,0.7,0,6,0.003886071965098381,1,6
100,5,10,0.7,0,7,0.0037855561822652817,1,6
100,5,10,0.7,0,8,0.0038835788145661354,1,6
100,5,10,0.7,0,9,0.0047987718135118484,1,6
100,5,10,0.7,5,0,0.004743050783872604,1,6
100,5,10,0.7,7,0,0.00871174968779087,1,6

100,5,10,0.7,2,1,0.004595063626766205,1,6
100,5,10,0.7,8,1,0.004676764830946922,1,6
100,5,10,0.7,4,1,0.005111816339194775,1,6
100,5,10,0.7,9,1,0.005769222043454647,1,6

100,5,10,0.7,1,1,0.006634153425693512,1,6
100,5,10,0.7,5,1,0.004728982225060463,1,6
100,5,10,0.7,6,2,0.004989459994249046,1,6

100,5,10,0.7,9,2,0.005133864004164934,1,6
100,5,10,0.7,7,2,0.005258012562990189,1,6
100,5,10,0.7,8,3,0.0038703898899257183,1,6
100,5,10,0.7,2,4,0.004114254377782345,1,6
100,5,10,0.7,9,3,0.00535888597369194,1,6

100,5,10,0.7,5,3,0.0053297728300094604,1,6
100,5,10,0.7,1,4,0.00421612523496151,1,6

1100,5,10,0.7,7,4,0.004238027147948742,1,6
100,5,10,0.7,6,5,0.0046792649663984776,1,6
100,5,10,0.7,4,5,0.0037698429077863693,1,6
100,5,10,0.7,3,6,0.0038675570394843817,1,6
100,5,10,0.7,5,5,0.003739781677722931,1,6
100,5,10,0.7,6,6,0.004516286076977849,1,6
100,5,10,0.7,9,6,0.0056972140446305275,1,6
00,5,10,0.7,7,6,0.004939604550600052,1,6
100,5,10,0.7,4,7,0.003949467092752457,1,6
100,5,10,0.7,8,6,0.005827711429446936,1,6
100,5,10,0.7,10,7,0.0037011774256825447,1,6
100,5,10,0.7,2,8,0.004463262856006622,1,6
100,5,10,0.7,3,8,0.0062092861626297235,1,6
100,5,10,0.7,6,7,0.004287899937480688,1,6

100,5,10,0.7,8,7,0.004221215844154358,1,6

100,5,10,0.7,2,9,0.00416324008256197,1,6
100,5,10,0.7,3,9,0.004451108165085316,1,6

100,5,10,0.7,7,8,0.005285425111651421,1,6
100,5,10,0.7,9,8,0.00476970593445003,1,6

100,5,10,0.7,1,9,0.003168730065226555,1,6
100,5,10,0.7,8,8,0.00500704487785697,1,6

100,5,10,0.7,10,9,0.0037827519699931145,1,6
100,5,10,0.7,7,9,0.004780607298016548,1,6
100,5,10,0.7,9,9,0.00455468101426959,1,6
100,5,10,0.7,8,9,0.004479662049561739,1,6
100,5,10,0.7,5,9,0.003341604955494404,1,6
100,5,10,0.7,11,0,0.00477010291069746,1,6
100,5,10,0.7,11,1,0.004144069738686085,1,6
100,5,10,0.7,11,2,0.0032765278592705727,1,6
100,5,10,0.7,11,3,0.0032048672437667847,1,6
100,5,10,0.7,11,4,0.0035935053601861,1,6
100,5,10,0.7,11,5,0.004138674587011337,1,6
100,5,10,0.7,11,6,0.0031651826575398445,1,6
100,5,10,0.7,11,7,0.0036203227937221527,1,6
100,5,10,0.7,11,8,0.004368295893073082,1,6
100,5,10,0.7,11,9,0.004033518955111504,1,6
100,5,10,0.7,16,0,0.00542270764708519,1,6
100,5,10,0.7,16,1,0.005133581347763538,1,6
100,5,10,0.7,17,0,0.004500437993556261,1,6
100,5,10,0.7,16,2,0.004474926739931107,1,6
100,5,10,0.7,17,1,0.0055497989524155855,1,6
100,5,10,0.7,16,3,0.0038027968257665634,1,6
100,5,10,0.7,17,2,0.0033627350348979235,1,6
100,5,10,0.7,16,4,0.003750378265976906,1,6
100,5,10,0.7,16,5,0.0037409914657473564,1,6
100,5,10,0.7,17,3,0.005148741998709738,1,6
100,5,10,0.7,16,6,0.0028312141075730324,1,6
100,5,10,0.7,16,7,0.00047883111983537674,1,4
100,5,10,0.7,17,4,0.005116630112752318,1,6
100,5,10,0.7,16,8,0.00441501010209322,1,6
100,5,10,0.7,17,5,0.004925983026623726,1,6
100,5,10,0.7,16,9,0.005157038569450378,1,6
100,5,10,0.7,17,6,0.004454381996765733,1,6
100,5,10,0.7,17,7,0.00481067004147917,1,6
100,5,10,0.7,17,8,0.004430360975675285,1,6
100,5,10,0.7,17,9,0.0033682070206850767,1,6
100,5,10,0.7,14,0,0.005524521926417947,1,6
100,5,10,0.7,14,1,0.004722756100818515,1,6
100,5,10,0.7,14,2,0.003899489063769579,1,6
100,5,10,0.7,14,3,0.004721686011180282,1,6
100,5,10,0.7,14,4,0.003369576996192336,1,6
100,5,10,0.7,14,5,0.00476073706522584,1,6
100,5,10,0.7,14,6,0.004494494060054421,1,6
100,5,10,0.7,14,7,0.004284658934921026,1,6
100,5,10,0.7,14,8,0.0037816211115568876,1,6
100,5,10,0.7,14,9,0.005089468089863658,1,6
100,5,10,0.7,15,0,0.006104560568928719,1,6
100,5,10,0.7,19,0,0.006136832758784294,1,6
100,5,10,0.7,15,1,0.004706959240138531,1,6
100,5,10,0.7,19,1,0.004515398759394884,1,6
100,5,10,0.7,15,2,0.004637282341718674,1,6
100,5,10,0.7,19,2,0.004728489089757204,1,6
100,5,10,0.7,15,3,0.004499526694417,1,6
100,5,10,0.7,19,3,0.004891805816441774,1,6
100,5,10,0.7,15,4,0.0034636901691555977,1,6
100,5,10,0.7,19,4,0.0045673600398004055,1,6
100,5,10,0.7,15,5,0.004435179755091667,1,6
100,5,10,0.7,19,5,0.0036991476081311703,1,6
100,5,10,0.7,15,6,0.004267963580787182,1,6
100,5,10,0.7,19,6,0.004408081993460655,1,6
100,5,10,0.7,15,7,0.0044861650094389915,1,6
100,5,10,0.7,19,7,0.003948766738176346,1,6
100,5,10,0.7,15,8,0.003919617272913456,1,6
100,5,10,0.7,19,8,0.004266718868166208,1,6
100,5,10,0.7,15,9,0.0052700527012348175,1,6
100,5,10,0.7,19,9,0.004571144934743643,1,6
100,5,10,0.7,12,0,0.005467777140438557,1,6
100,5,10,0.7,20,0,0.005930690094828606,1,6
100,5,10,0.7,12,1,0.004005235619843006,1,6
100,5,10,0.7,12,2,0.004098353907465935,1,6
100,5,10,0.7,20,1,0.0050599228125065565,1,6
100,5,10,0.7,12,3,0.00414319708943367,1,6
100,5,10,0.7,20,2,0.0051272420678287745,1,6
100,5,10,0.7,12,4,0.004406677559018135,1,6
100,5,10,0.7,20,3,0.004602262983098626,1,6
100,5,10,0.7,12,5,0.004603737965226173,1,6
100,5,10,0.7,20,4,0.005086390068754554,1,6
100,5,10,0.7,12,6,0.004132796078920364,1,6
100,5,10,0.7,20,5,0.0036113380920141935,1,6
100,5,10,0.7,12,7,0.0037631765007972717,1,6
100,5,10,0.7,20,6,0.0044714841060340405,1,6
100,5,10,0.7,12,8,0.005682550370693207,1,6
100,5,10,0.7,20,7,0.004095677053555846,1,6
100,5,10,0.7,13,0,0.003668895922601223,1,6
100,5,10,0.7,12,9,0.004475222900509834,1,6
100,5,10,0.7,13,1,0.004041951149702072,1,6
100,5,10,0.7,20,9,0.004704711027443409,1,6
100,5,10,0.7,13,2,0.004297545179724693,1,6
100,5,10,0.7,21,0,0.005633097141981125,1,6
100,5,10,0.7,13,3,0.004238005727529526,1,6
100,5,10,0.7,18,0,0.005861487239599228,1,6

100,5,10,0.7,13,4,0.004069270566105843,1,6
100,5,10,0.7,21,2,0.004442531615495682,1,6
100,5,10,0.7,18,1,0.0060812681913375854,1,6
100,5,10,0.7,13,5,0.004146043211221695,1,6
100,5,10,0.7,21,3,0.0036764908581972122,1,6
100,5,10,0.7,18,2,0.004766528494656086,1,6
100,5,10,0.7,21,4,0.004875456914305687,1,6
100,5,10,0.7,18,3,0.005131524056196213,1,6

100,5,10,0.7,21,6,0.004214759916067123,1,6
100,5,10,0.7,13,8,0.003416844643652439,1,6
100,5,10,0.7,18,4,0.004929741844534874,1,6
100,5,10,0.7,21,7,0.0038757193833589554,1,6
100,5,10,0.7,13,9,0.0035705361515283585,1,6
100,5,10,0.7,18,5,0.005078047513961792,1,6
100,5,10,0.7,21,8,0.003768693655729294,1,6
100,5,10,0.7,21,9,0.004214892163872719,1,6
100,5,10,0.7,18,7,0.0046370504423975945,1,6
100,5,10,0.7,18,8,0.0038538742810487747,1,6
100,5,10,0.7,18,9,0.00496623944491148,1,6
100,5,10,0.7,22,0,0.004720601253211498,1,6
100,5,10,0.7,22,1,0.003771977499127388,1,6
100,5,10,0.7,22,2,0.004184103570878506,1,6
100,5,10,0.7,22,3,0.004232674837112427,1,6
100,5,10,0.7,22,4,0.00403475109487772,1,6
100,5,10,0.7,22,5,0.005203535780310631,1,6
100,5,10,0.7,22,6,0.0027596428990364075,1,6
100,5,10,0.7,22,7,0.005060986615717411,1,6
100,5,10,0.7,22,8,0.0036693094298243523,1,6
100,5,10,0.7,22,9,0.002822296693921089,1,6
100,5,10,0.7,25,0,0.00550598802510649,1,6
100,5,10,0.7,25,1,0.0045199880842119455,1,6
100,5,10,0.7,25,2,0.005123597919009626,1,6
100,5,10,0.7,25,3,0.004413290997035801,1,6
100,5,10,0.7,25,4,0.0042651520343497396,1,6
100,5,10,0.7,25,5,0.004382337094284594,1,6
100,5,10,0.7,25,6,0.003285084036178887,1,6
100,5,10,0.7,25,7,0.0032071160385385156,1,6
100,5,10,0.7,25,8,0.004585303016938269,1,6
100,5,10,0.7,24,0,0.005781983025372028,1,6
100,5,10,0.7,24,1,0.005111844977363944,1,6
100,5,10,0.7,24,2,0.005279327975586057,1,6
100,5,10,0.7,24,3,0.005443197907879949,1,6
100,5,10,0.7,24,4,0.004886367125436664,1,6
100,5,10,0.7,24,5,0.0033722431398928165,1,6
100,5,10,0.7,24,6,0.003928107907995582,1,6
100,5,10,0.7,24,7,0.003949793055653572,1,6
100,5,10,0.7,24,8,0.004489774815738201,1,6
100,5,10,0.7,24,9,0.0039586410857737064,1,6
100,5,10,0.7,26,0,0.004496150184422731,1,6
100,5,10,0.7,26,1,0.005526803899556398,1,6
