schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,m_requested,m_effective,min_row_size_requested,row_size_distribution,row_size_support,row_size_probs,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,25,10,100,1482767248,0,conj,glucose42,MT19937-RandomState,0.0004920260980725288,0100010000000100001000010000001010000000000100110001100000000100000000110001100000110000000010000010000000000101000000000011000000011000101000010000001000000000001100101010001110000000110010010001010000000001010000011001000100000000100101000001100100,7fd3ae415aa6f0bc041d93089af5c6c719e8f78c2ace2547a7db542cb7354b7f,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003758873790502548,0.00010596867650747299,0.0010537682101130486,0.001169607974588871,0.022529708221554756,0.02524497825652361,0.0027052322402596474,21,510,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,1019,3802,0,1,1,0,0,0,0,1,1,1,0,0,0.0052506523206830025
4,25,10,100,1482767248,1,conj,glucose42,MT19937-RandomState,0.0003953026607632637,0100100000000110000010000000000010000000000010101000000100000000100000000010010010001010100100010011010001100000000110100000000001100101100000001000110000100110001001010010000010101110000000100001010000000000011011010000100000000010001101000000100001,e80f43020d630d0e816c85866457336ae88727936137df69352088cf7847c7bd,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003912299871444702,7.447786629199982e-05,0.0010373815894126892,0.0011293618008494377,0.007823244668543339,0.010465884581208229,0.002632451243698597,20,517,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,980,3625,0,1,1,0,0,0,0,1,1,1,0,0,0.005079022608697414
4,25,10,100,1482767248,2,conj,glucose42,MT19937-RandomState,0.00040748249739408493,0001101000000000100010000010000010000000000010000111000000001000000001000001000001000000000100110010000100000010000000001100101000100000000000011000000000000010001010010000001101000010000000000001110000010000100110100000001000100000001000001000000010,471c7284b3362ab4bc6d98f451dd7d4413bd1607abce2cfe548eb2b3ff2e2393,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00034160446375608444,6.188545376062393e-05,0.0006931712850928307,0.0010486161336302757,0.00438200868666172,0.006534618325531483,0.0021452773362398148,13,688,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,557,2221,0,1,1,0,0,0,0,1,1,1,0,0,0.004539778456091881
4,25,10,100,1482767248,3,conj,glucose42,MT19937-RandomState,0.0003637811169028282,0000100000100011000010000000000000100000000011000001000010000000010000000010000010100000000001011000000010000100010101100010000000000000110000010000001000100010000000000100000001000000010110000010000000000001000001000100000010011111000001101010001010,b12b990985a9b3dd14da61ef3a33f6e72291e301bedf9aea1e9f299d167be8a9,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00032053422182798386,6.355997174978256e-05,0.0007978752255439758,0.001087401993572712,0.004439652897417545,0.006717124953866005,0.002269371412694454,15,570,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,705,2652,0,1,1,0,0,0,0,1,1,1,0,0,0.004635528661310673
4,25,10,100,1482767248,4,conj,glucose42,MT19937-RandomState,0.00036682840436697006,1010110000010000010100000001000010011001000111000000100101100001000100100000010101000000110100010100100011100000101100010010010001000000110110011000001000000000000001010000000101001010100001000000010000011010010101000000001000010100100010000110100000,8775c648e05b4e30ed45570fce2e1a849e559881293ab9e24707322cfa46430d,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00037260446697473526,7.438473403453827e-05,0.0010764505714178085,0.0010780170559883118,0.00788346491754055,0.010494381189346313,0.002601456828415394,22,385,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,1158,4089,0,1,1,0,0,0,0,1,1,1,0,0,0.004804450087249279
4,25,10,100,1482767248,5,conj,glucose42,MT19937-RandomState,0.0003957897424697876,0000000010011000001000100000000000011000001000000001000010001000100000000000001000000100101100100001000001001100100000000000010001000100110010010001010100011010111100000000010000001000000110000001000000100000000100000000000000100000001000000000000001,c0531e58e919f72aac08246e2826f11c5cd49c54e22a0c3b3325bcea30fb7ee4,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0002996642142534256,6.357673555612564e-05,0.000722791999578476,0.0010645901784300804,0.004309154115617275,0.006468409672379494,0.0021506231278181076,13,634,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,587,2254,0,1,1,0,0,0,0,1,1,1,0,0,0.0045741256326437
4,25,10,100,1482767248,6,conj,glucose42,MT19937-RandomState,0.0003818012773990631,0001001000000000100000100000001000010110001000100000000100000100001000000001001100000000010000000001000000000101100000000100110010000000100000110101000011001000100100001010000110000010000000100010001001000101000100110001000000001001100000000000001001,0d6d4d2a4e5fa13e37ab2d6312c79a6166fd90867f52a9a3d37861cf4610de5f,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00029227975755929947,6.341468542814255e-05,0.000672604888677597,0.0,0.0,0.0010390384122729301,0.001028299331665039,16,357,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.003802492283284664
4,25,10,100,1482767248,7,conj,glucose42,MT19937-RandomState,0.00034851301461458206,0000000100000010010010001011000000100000000001001011000000100001000000001010000100000100000100000000000011100000110100000000000100000011100000010000010001000010001010000000100000100001001010010011000100001000000010010000010001000010000100011100010001,13e4796a3bab02d648d7f13a4f494f7977b8c4ecc3cdd028df264a7911c3e66c,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.000334298238158226,6.605032831430435e-05,0.0009207800030708313,0.0010661175474524498,0.005005293525755405,0.007402943447232246,0.0023872461169958115,18,509,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,842,3205,0,1,1,0,0,0,0,1,1,1,0,0,0.004859669134020805
4,25,10,100,1482767248,8,conj,glucose42,MT19937-RandomState,0.0003780536353588104,0010010010000010000000000001001000101000010010010010010011000000011110101000100000001001001000000000000100000000000000011000011010000100101000000011010000100000000100000001000000100100000000011010100000101011000001010000000010001010000000100100101000,6631f763ba03b9e90d3303f65dd93f9ccdfdfd121ab81991f82cf597b0295429,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003629010170698166,7.820315659046173e-05,0.001005701720714569,0.0010223640128970146,0.006700626574456692,0.009177728556096554,0.002469169907271862,21,571,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,1019,3802,0,1,1,0,0,0,0,1,1,1,0,0,0.005286615341901779
4,25,10,100,1482767248,9,conj,glucose42,MT19937-RandomState,0.00035726092755794525,0101001010011000000000100000000010000000010000001001100010000000100000110000001001010100010100000111100000001000010011000110000001010100001100001001000000100000000101000000010000100000100000110000010000000100110101000110000010111000000100100000000110,49f0f00d5a1bd9e1b159bc4413adbe5a8201c4c8a446c1577b4720b80b4995bd,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00034051109105348587,7.127784192562103e-05,0.0009535551071166992,0.0010267086327075958,0.008466782979667187,0.010866538621485233,0.002392052672803402,20,443,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,1010,3658,0,1,1,0,0,0,0,1,1,1,0,0,0.0048918575048446655
