J,K,N,p,seed,sim,runtime,identifiable,branch
50,15,10,0.3,1,0,7.2370389979332685,True,6
50,15,10,0.3,5,0,9.194882215932012,True,6
50,15,10,0.3,0,0,9.590757030062377,True,6
50,15,10,0.3,2,0,10.42698311060667,True,6
50,15,10,0.3,3,0,10.537052597850561,True,6
50,15,10,0.3,4,0,10.931202663108706,True,6
50,15,10,0.3,2,1,6.730340056121349,True,6
50,15,10,0.3,0,1,8.885475215036422,True,6
50,15,10,0.3,1,1,10.936668828129768,True,6
50,15,10,0.3,3,1,11.067145392298698,True,6
50,15,10,0.3,4,1,10.555537162348628,True,6
50,15,10,0.3,5,1,12.885438548400998,True,6
50,15,10,0.3,2,2,10.138143718242645,True,6
50,15,10,0.3,1,2,8.220106543973088,True,6
50,15,10,0.3,0,2,9.297078392002732,True,6
50,15,10,0.3,1,3,6.9195748921483755,True,6
50,15,10,0.3,4,2,14.38118749577552,True,6
50,15,10,0.3,5,2,14.404653484001756,True,6
50,15,10,0.3,3,2,15.501512490212917,True,6
50,15,10,0.3,2,3,12.03861771710217,True,6
50,15,10,0.3,1,4,8.644380016252398,True,6
50,15,10,0.3,4,3,9.433815567754209,True,6
50,15,10,0.3,5,3,11.89255922473967,True,6
50,15,10,0.3,0,3,21.232660019770265,True,6
50,15,10,0.3,1,5,8.49657854437828,True,6
50,15,10,0.3,2,4,12.4543536901474,True,6
50,15,10,0.3,3,3,16.487542191520333,True,6
50,15,10,0.3,4,4,11.873855542391539,True,6
50,15,10,0.3,1,6,6.746611054986715,True,6
50,15,10,0.3,0,4,9.564422797877342,True,6
50,15,10,0.3,3,4,6.92121640779078,True,6
50,15,10,0.3,5,4,12.147299472242594,True,6
50,15,10,0.3,2,5,13.266821088269353,True,6
50,15,10,0.3,1,7,8.158150538802147,True,6
50,15,10,0.3,0,5,10.65943563496694,True,6
50,15,10,0.3,3,5,10.432393629103899,True,6
50,15,10,0.3,5,5,12.134602891281247,True,6
50,15,10,0.3,2,6,10.726421065628529,True,6
50,15,10,0.3,1,8,10.08267275057733,True,6
50,15,10,0.3,0,6,11.478538332972676,True,6
50,15,10,0.3,4,5,23.67933555226773,True,6
50,15,10,0.3,5,6,9.392950339242816,True,6
50,15,10,0.3,3,6,11.769658828154206,True,6
50,15,10,0.3,2,7,8.10242136567831,True,6
50,15,10,0.3,1,9,10.96495977602899,True,6
50,15,10,0.3,2,8,9.203379033133388,True,6
50,15,10,0.3,0,7,12.419058014638722,True,6
50,15,10,0.3,3,7,13.244800362735987,True,6
50,15,10,0.3,4,6,16.08045402728021,True,6
50,15,10,0.3,5,7,15.953161992132664,True,6
50,15,10,0.3,6,0,8.183216370642185,True,6
50,15,10,0.3,2,9,9.332652319222689,True,6
50,15,10,0.3,0,8,10.4981260583736,True,6
50,15,10,0.3,6,1,8.16018276847899,True,6
50,15,10,0.3,4,7,11.371706487610936,True,6
50,15,10,0.3,5,8,11.98376384563744,True,6
50,15,10,0.3,3,8,14.697851918637753,True,6
50,15,10,0.3,6,2,9.043278083205223,True,6
50,15,10,0.3,0,9,15.178499214816839,True,6
50,15,10,0.3,3,9,10.254765015095472,True,6
50,15,10,0.3,4,8,14.214220120571554,True,6
50,15,10,0.3,6,3,7.124574368819594,True,6
50,15,10,0.3,5,9,15.357516320422292,True,6
50,15,10,0.3,6,4,6.363532496616244,True,6
50,15,10,0.3,7,0,14.989662734791636,True,6
50,15,10,0.3,6,5,14.051056176424026,True,6
50,15,10,0.3,4,9,25.532579575665295,True,6
50,15,10,0.3,6,6,8.526206811890006,True,6
50,15,10,0.3,7,1,16.445535281673074,True,6
50,15,10,0.3,6,7,7.0516238156706095,True,6
50,15,10,0.3,8,0,7.958482213318348,True,6
50,15,10,0.3,9,0,13.72733823908493,True,6
50,15,10,0.3,6,8,8.75339669547975,True,6
50,15,10,0.3,7,2,16.16215599142015,True,6
50,15,10,0.3,8,1,10.626195158809423,True,6
50,15,10,0.3,6,9,6.770749880000949,True,6
50,15,10,0.3,9,1,11.46992193814367,True,6
50,15,10,0.3,7,3,12.041707094758749,True,6
50,15,10,0.3,8,2,14.734889388084412,True,6
50,15,10,0.3,9,2,13.380139764398336,True,6
50,15,10,0.3,7,4,10.979016127064824,True,6
50,15,10,0.3,8,3,11.672330571338534,True,6
50,15,10,0.3,7,5,9.034668983891606,True,6
50,15,10,0.3,9,3,10.734685328789055,True,6
50,15,10,0.3,9,4,8.360443029087037,True,6
50,15,10,0.3,8,4,16.96591235511005,True,6
50,15,10,0.3,7,6,14.684457110241055,True,6
50,15,10,0.3,9,5,7.469402649905533,True,6
50,15,10,0.3,7,7,9.638326540589333,True,6
50,15,10,0.3,9,6,11.446506638079882,True,6
50,15,10,0.3,8,5,21.151282209903002,True,6
50,15,10,0.3,9,7,9.875522994901985,True,6
50,15,10,0.3,8,6,9.96232557669282,True,6
50,15,10,0.3,7,8,20.760747496038675,True,6
50,15,10,0.3,9,8,16.677954168058932,True,6
50,15,10,0.3,8,7,12.906231677159667,True,6
50,15,10,0.3,7,9,13.271119318902493,True,6
50,15,10,0.3,9,9,10.586215930990875,True,6
50,15,10,0.3,8,8,12.847232542932034,True,6
50,15,10,0.3,8,9,11.21428157761693,True,6
