solver,J,K,p,n,id_prop,mean_J_basis,mean_M_basis,identity_original_prop,identity_basis_prop,two_col_violation_basis_prop,sat_called_prop,mean_algorithm_time,mean_preprocess_time,mean_sat_time_given_SAT
1,25,5,0.1,1000,44.4,4.804,23.597,5.9,34.6,55.6,9.8,0.001,0.000,0.003
1,25,5,0.3,1000,95.1,6.161,29.323,3.0,38.9,4.9,56.2,0.002,0.001,0.003
1,25,5,0.5,1000,98.3,7.997,25.601,16.1,3.2,1.7,95.1,0.004,0.001,0.003
1,25,5,0.7,1000,80.3,7.963,17.060,0.1,0.0,4.9,90.4,0.003,0.001,0.003
1,25,5,0.9,1000,0.0,5.393,8.160,0.0,0.0,55.6,1.9,0.000,0.000,0.002
1,25,10,0.1,1000,7.8,10.395,354.449,16.6,0.6,92.2,7.2,0.011,0.001,0.139
1,25,10,0.3,1000,82.3,19.981,377.132,0.1,0.0,17.7,82.3,0.126,0.005,0.148
1,25,10,0.5,1000,93.3,21.481,161.133,0.0,0.0,5.8,94.1,0.143,0.004,0.148
1,25,10,0.7,1000,5.1,18.180,56.937,0.0,0.0,17.7,53.8,0.423,0.003,0.781
1,25,10,0.9,1000,0.0,10.235,16.505,0.0,0.0,92.2,0.0,0.000,0.000,
1,50,5,0.1,1000,90.1,5.066,30.714,0.0,83.4,9.9,6.7,0.001,0.000,0.003
1,50,5,0.3,1000,100.0,5.257,31.814,0.0,89.6,0.0,10.4,0.001,0.001,0.003
1,50,5,0.5,1000,100.0,7.203,30.206,10.0,29.6,0.0,70.4,0.003,0.001,0.004
1,50,5,0.7,1000,99.8,9.256,22.470,0.9,0.0,0.0,100.0,0.004,0.001,0.004
1,50,5,0.9,1000,1.3,6.333,10.416,0.0,0.0,9.9,17.0,0.001,0.000,0.002
1,50,10,0.1,1000,73.5,11.843,823.097,0.4,21.4,26.5,52.1,0.095,0.004,0.174
1,50,10,0.3,1000,99.9,27.476,724.571,4.8,0.0,0.1,99.9,0.398,0.010,0.389
1,50,10,0.5,1000,100.0,35.215,327.049,0.0,0.0,0.0,100.0,0.325,0.008,0.317
1,50,10,0.7,1000,92.6,29.335,106.029,0.0,0.0,0.1,99.2,3.479,0.005,3.502
1,50,10,0.9,1000,0.0,14.042,24.789,0.0,0.0,26.5,0.0,0.001,0.001,
