solver,J,K,p,n,id_prop,id_mcse,not_complete_prop,no_pure_prop,id_and_not_complete_prop,id_and_not_complete_mcse,not_complete_given_id,id_and_no_pure_prop,id_and_no_pure_mcse,no_pure_given_id
1,25,5,0.1,1000.0,0.444,0.015711906313366306,0.941,0.0,0.433,0.015668790636165893,0.9752252252252253,0.0,0.0,0.0
1,25,5,0.3,1000.0,0.951,0.006826346021115546,0.97,0.0,0.921,0.008529888627643386,0.9684542586750788,0.0,0.0,0.0
1,25,5,0.5,1000.0,0.983,0.004087909000944127,0.839,0.015,0.826,0.011988494484296184,0.8402848423194303,0.015,0.003843826218756514,0.015259409969481181
1,25,5,0.7,1000.0,0.803,0.012577400367325513,0.999,0.482,0.802,0.012601428490452976,0.9987546699875467,0.345,0.015032464867745409,0.42963885429638854
1,25,5,0.9,1000.0,0.0,0.0,1.0,0.992,0.0,0.0,,0.0,0.0,
1,25,10,0.1,1000.0,0.078,0.008480330182251162,0.834,0.0,0.066,0.007851369307324678,0.8461538461538461,0.0,0.0,0.0
1,25,10,0.3,1000.0,0.823,0.012069424178476786,0.999,0.047,0.822,0.012096115078817663,0.9987849331713244,0.04,0.0061967733539318665,0.04860267314702309
1,25,10,0.5,1000.0,0.933,0.007906389820898028,1.0,0.791,0.933,0.007906389820898028,1.0,0.734,0.013972973913952606,0.7867095391211146
1,25,10,0.7,1000.0,0.051,0.00695693898205238,1.0,0.997,0.051,0.00695693898205238,1.0,0.05,0.006892024376045111,0.9803921568627451
1,25,10,0.9,1000.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,
1,50,5,0.1,1000.0,0.901,0.009444522221901962,1.0,0.0,0.901,0.009444522221901962,1.0,0.0,0.0,0.0
1,50,5,0.3,1000.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,50,5,0.5,1000.0,1.0,0.0,0.9,0.0,0.9,0.009486832980505136,0.9,0.0,0.0,0.0
1,50,5,0.7,1000.0,0.998,0.0014127986409959495,0.991,0.261,0.989,0.0032983329122452166,0.9909819639278558,0.259,0.013853483316480371,0.2595190380761523
1,50,5,0.9,1000.0,0.013,0.003582038525755969,1.0,0.98,0.013,0.003582038525755969,1.0,0.011,0.003298332912245215,0.8461538461538461
1,50,10,0.1,1000.0,0.735,0.013956181426163821,0.996,0.0,0.732,0.014006284303840188,0.9959183673469387,0.0,0.0,0.0
1,50,10,0.3,1000.0,0.999,0.0009994998749374613,0.952,0.002,0.951,0.006826346021115546,0.9519519519519519,0.002,0.0014127986409959489,0.002002002002002002
1,50,10,0.5,1000.0,1.0,0.0,1.0,0.63,1.0,0.0,1.0,0.63,0.015267612779999367,0.63
1,50,10,0.7,1000.0,0.926,0.008277922444671728,1.0,0.994,0.926,0.008277922444671728,1.0,0.921,0.008529888627643386,0.9946004319654428
1,50,10,0.9,1000.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,
1,100,5,0.1,1000.0,0.998,0.0014127986409959495,1.0,0.0,0.998,0.0014127986409959495,1.0,0.0,0.0,0.0
1,100,5,0.3,1000.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,100,5,0.5,1000.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,100,5,0.7,1000.0,1.0,0.0,0.896,0.066,0.896,0.009653186002558947,0.896,0.066,0.007851369307324678,0.066
1,100,5,0.9,1000.0,0.2,0.01264911064067352,1.0,0.949,0.2,0.01264911064067352,1.0,0.179,0.01212266472356635,0.895
1,100,10,0.1,1000.0,0.995,0.002230470802319547,1.0,0.0,0.995,0.002230470802319547,1.0,0.0,0.0,0.0
1,100,10,0.3,1000.0,1.0,0.0,0.888,0.0,0.888,0.00997276290703835,0.888,0.0,0.0,0.0
1,100,10,0.5,1000.0,1.0,0.0,1.0,0.389,1.0,0.0,1.0,0.389,0.015416841440450765,0.389
1,100,10,0.7,1000.0,1.0,0.0,1.0,0.99,1.0,0.0,1.0,0.99,0.003146426544510456,0.99
1,100,10,0.9,1000.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,
