solver,J,K,p,n,id_prop,id_mcse,mean_J_basis,sd_J_basis,mean_M_basis,sd_M_basis,identity_original_prop,identity_basis_prop,two_col_violation_original_prop,two_col_violation_basis_prop,sat_called_prop,resolved_before_SAT_prop,mean_algorithm_time,median_algorithm_time,mean_preprocess_time,median_preprocess_time,mean_sat_time_all,median_sat_time_all,preprocess_share_of_total,n_SAT,SAT_identifiable_prop,SAT_nonidentifiable_prop,mean_sat_time_given_SAT,median_sat_time_given_SAT,mean_algorithm_time_given_SAT,mean_J_basis_given_SAT,mean_M_basis_given_SAT
1,25,5,0.1,1000,0.444,0.015711906313366306,4.804,0.7772954317299099,23.597,7.83619786612085,0.059,0.346,0.556,0.556,0.098,0.902,0.0005641397399740069,0.00029229291249065,0.0002864681902574001,0.00024938851129259997,0.0002530135644483333,0.0,0.5077965084867081,98,1.0,0.0,0.002581771065799319,0.0026496330974623,0.0030810739493118185,6.183673469387755,27.724489795918366
1,25,5,0.3,1000,0.951,0.006826346021115546,6.161,1.2052101607319492,29.323,2.9586186683018862,0.03,0.389,0.049,0.049,0.562,0.438,0.002144163772056296,0.00270598847419015,0.0005037628832505527,0.00049107897211795,0.0016331131761544095,0.00222710100933905,0.23494608472347892,562,1.0,0.0,0.002905895331235604,0.0028286349261179003,0.003449397285682601,7.019572953736655,28.062277580071175
1,25,5,0.5,1000,0.983,0.004087909000944127,7.997,1.2233100537016304,25.601,2.895545403405577,0.161,0.032,0.017,0.017,0.951,0.049,0.0036674109391751195,0.0037452640244737,0.000556552003719793,0.00054191448725755,0.0031049398309550696,0.0031965285306796,0.15175610613327495,951,1.0,0.0,0.003264920957891766,0.0032344079809263,0.003832642500314196,8.11882229232387,25.456361724500525
1,25,5,0.7,1000,0.803,0.012577400367325513,7.963,1.1554072727683362,17.06,2.7069776001525616,0.001,0.0,0.049,0.049,0.904,0.096,0.0031017987737431614,0.00317416735924775,0.0005159470536745588,0.0005094519583507999,0.0025642177639528673,0.0026467215502634003,0.1663380158771321,904,0.8882743362831859,0.11172566371681415,0.002836524075169101,0.0027270184364169498,0.003388163704472436,8.076327433628318,17.414823008849556
1,25,5,0.9,1000,0.0,0.0,5.393,0.9754498974844901,8.16,1.5403807233190026,0.0,0.0,0.556,0.556,0.019,0.981,0.0003480752296163202,0.00031854701228435005,0.00022777517832578762,0.00024270650465035,4.1694684594403e-05,0.0,0.6543849114941672,19,0.0,1.0,0.0021944570839159475,0.0021781518589705,0.0027664189324958844,6.631578947368421,11.68421052631579
1,25,10,0.1,1000,0.078,0.008480330182251162,10.395,1.6708580929470838,354.449,186.00822147813125,0.166,0.006,0.922,0.922,0.072,0.928,0.011280179231078314,0.0009930793894454499,0.001219595530128522,0.00091704109217965,0.009988487253489435,0.0,0.10811845318630955,72,1.0,0.0,0.1387289896317977,0.1344648440135643,0.14286151935488708,12.708333333333334,687.5555555555555
1,25,10,0.3,1000,0.823,0.012069424178476786,19.981,1.9365922104019184,377.132,77.69614705548325,0.001,0.0,0.177,0.177,0.823,0.177,0.12643364866374754,0.14089718647301194,0.004803066110413005,0.0049631654983386,0.12160461636265969,0.1361782429739833,0.037988827825311294,823,1.0,0.0,0.14775773555608712,0.1486121001653373,0.15294928967867572,20.212636695018226,387.73876063183474
1,25,10,0.5,1000,0.933,0.007906389820898028,21.481,1.5620752475726252,161.133,29.175580980085495,0.0,0.0,0.058,0.058,0.941,0.059,0.1434405691802385,0.11878085904754696,0.003978260282718062,0.00403190695215015,0.1394463278155308,0.11452422896400091,0.027734554494964578,941,0.9914984059511158,0.008501594048884165,0.1481895088369084,0.11808159109205,0.15229648277149893,21.534537725823593,162.15515409139215
1,25,10,0.7,1000,0.051,0.00695693898205238,18.18,1.898210526575807,56.937,10.220836389283248,0.0,0.0,0.177,0.177,0.538,0.462,0.4226226687702583,0.0327464735601097,0.002503072384279172,0.0028196888742967998,0.41998182532808276,0.029757680953480248,0.005922712076857066,538,0.09479553903345725,0.9052044609665427,0.7806353630633509,0.0904573904117569,0.7838983434623759,18.648698884758364,61.51858736059479
1,25,10,0.9,1000,0.0,0.0,10.235,1.4946601650572648,16.505,3.0081595742287397,0.0,0.0,0.922,0.922,0.0,1.0,0.0004938246888340886,0.00036523153539739996,0.00037532959633967554,0.0002498077228665,0.0,0.0,0.7600462367036004,0,,,,,,,
1,50,5,0.1,1000,0.901,0.009444522221901962,5.066,0.4047317726690203,30.714,3.4017312909422706,0.0,0.834,0.099,0.099,0.067,0.933,0.0006723139176610354,0.00047162198461585,0.0004711921375710033,0.00046769517939535,0.0001906486642546921,0.0,0.7008513808702189,67,1.0,0.0,0.0028455024515625688,0.002714408095926,0.0033792204001167297,6.343283582089552,28.26865671641791
1,50,5,0.3,1000,1.0,0.0,5.257,0.7845805035600654,31.814,0.6571421732287731,0.0,0.896,0.0,0.0,0.104,0.896,0.0008849693411029385,0.00049023597966875,0.0005208962941541764,0.0004864410730078,0.000360061973799015,0.0,0.5886037741205618,104,1.0,0.0,0.0034621343634520674,0.0033754489850252502,0.004054405619032061,7.471153846153846,30.21153846153846
1,50,5,0.5,1000,1.0,0.0,7.203,1.7084231647076522,30.206,1.6180797823909014,0.1,0.296,0.0,0.0,0.704,0.296,0.003091196863213504,0.0035331840626895,0.0005741868743206802,0.00055867794435465,0.0025124891770537585,0.0029757351148873,0.18574904793471317,704,1.0,0.0,0.003568876671951361,0.00346767052542415,0.004173040669477517,8.129261363636363,29.451704545454547
1,50,5,0.7,1000,0.998,0.0014127986409959495,9.256,1.1848493017543902,22.47,2.4562437039376066,0.009,0.0,0.0,0.0,1.0,0.0,0.004315280212089369,0.00426410313230005,0.0005952812118920938,0.00057729473337525,0.0037149005215614526,0.00366935448255385,0.13794729024187077,1000,0.998,0.002,0.0037149005215614526,0.00366935448255385,0.004315280212089369,9.256,22.47
1,50,5,0.9,1000,0.013,0.003582038525755969,6.333,0.7802049216197757,10.416,1.6798112292057592,0.0,0.0,0.099,0.099,0.17,0.83,0.000894035009434397,0.0005004210397600501,0.00036802664399141995,0.000354248448275,0.0003742503935936757,0.0,0.4116467924720852,170,0.07647058823529412,0.9235294117647059,0.0022014729034922098,0.0021628050599246497,0.0028699364718597106,6.6647058823529415,12.58235294117647
