solver,J,K,p,SAT_found_counterexample,SAT_unsat_identifiable,all_one_column,all_zero_column,basis_J_less_than_K,identity_submatrix_direct_id,three_column_check_failed,two_column_check_failed
1,25,5,0.1,0.0,0.098,0.0,0.011,0.292,0.346,0.0,0.253
1,25,5,0.3,0.0,0.562,0.0,0.0,0.001,0.389,0.0,0.048
1,25,5,0.5,0.0,0.951,0.0,0.0,0.0,0.032,0.0,0.017
1,25,5,0.7,0.101,0.803,0.001,0.0,0.0,0.0,0.047,0.048
1,25,5,0.9,0.019,0.0,0.144,0.0,0.162,0.0,0.425,0.25
1,25,10,0.1,0.0,0.072,0.0,0.238,0.296,0.006,0.0,0.388
1,25,10,0.3,0.0,0.823,0.0,0.001,0.0,0.0,0.0,0.176
1,25,10,0.5,0.008,0.933,0.0,0.0,0.0,0.0,0.001,0.058
1,25,10,0.7,0.487,0.051,0.001,0.0,0.0,0.0,0.285,0.176
1,25,10,0.9,0.0,0.0,0.279,0.0,0.305,0.0,0.078,0.338
1,50,5,0.1,0.0,0.067,0.0,0.0,0.026,0.834,0.0,0.073
1,50,5,0.3,0.0,0.104,0.0,0.0,0.0,0.896,0.0,0.0
1,50,5,0.5,0.0,0.704,0.0,0.0,0.0,0.296,0.0,0.0
1,50,5,0.7,0.002,0.998,0.0,0.0,0.0,0.0,0.0,0.0
1,50,5,0.9,0.157,0.013,0.02,0.0,0.007,0.0,0.731,0.072
1,50,10,0.1,0.0,0.521,0.0,0.025,0.025,0.214,0.0,0.215
1,50,10,0.3,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.001
1,50,10,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,50,10,0.7,0.066,0.926,0.0,0.0,0.0,0.0,0.007,0.001
1,50,10,0.9,0.0,0.0,0.046,0.0,0.0,0.0,0.735,0.219
1,100,5,0.1,0.0,0.005,0.0,0.0,0.0,0.993,0.0,0.002
1,100,5,0.3,0.0,0.004,0.0,0.0,0.0,0.996,0.0,0.0
1,100,5,0.5,0.0,0.201,0.0,0.0,0.0,0.799,0.0,0.0
1,100,5,0.7,0.0,0.985,0.0,0.0,0.0,0.015,0.0,0.0
1,100,5,0.9,0.393,0.2,0.0,0.0,0.0,0.0,0.405,0.002
1,100,10,0.1,0.0,0.17,0.0,0.0,0.0,0.825,0.0,0.005
1,100,10,0.3,0.0,0.975,0.0,0.0,0.0,0.025,0.0,0.0
1,100,10,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100,10,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100,10,0.9,0.029,0.0,0.0,0.0,0.0,0.0,0.966,0.005
