solver,J,K,p,n,id_prop,two_col_violation_basis_prop,sat_called_prop,mean_J_basis,mean_M_basis,mean_algorithm_time,mean_sat_time_given_SAT,id_and_not_complete_prop,not_complete_given_id,id_and_no_pure_prop,no_pure_given_id
1,25,5,0.1,1000.0,44.4,55.6,9.8,4.804,23.597,0.001,0.003,9.8,22.1,0.0,0.0
1,25,5,0.3,1000.0,95.1,4.9,56.2,6.161,29.323,0.002,0.003,56.2,59.1,0.0,0.0
1,25,5,0.5,1000.0,98.3,1.7,95.1,7.997,25.601,0.004,0.003,95.1,96.7,1.5,1.5
1,25,5,0.7,1000.0,80.3,4.9,90.4,7.963,17.060,0.003,0.003,80.3,100.0,34.5,43.0
1,25,5,0.9,1000.0,0.0,55.6,1.9,5.393,8.160,0.000,0.002,0.0,,0.0,
1,50,5,0.1,1000.0,90.1,9.9,6.7,5.066,30.714,0.001,0.003,6.7,7.4,0.0,0.0
1,50,5,0.3,1000.0,100.0,0.0,10.4,5.257,31.814,0.001,0.003,10.4,10.4,0.0,0.0
1,50,5,0.5,1000.0,100.0,0.0,70.4,7.203,30.206,0.003,0.004,70.4,70.4,0.0,0.0
1,50,5,0.7,1000.0,99.8,0.0,100.0,9.256,22.470,0.004,0.004,99.8,100.0,25.9,26.0
1,50,5,0.9,1000.0,1.3,9.9,17.0,6.333,10.416,0.001,0.002,1.3,100.0,1.1,84.6
1,100,5,0.1,1000.0,99.8,0.2,0.5,5.010,31.972,0.001,0.003,0.5,0.5,0.0,0.0
1,100,5,0.3,1000.0,100.0,0.0,0.4,5.011,31.995,0.001,0.004,0.4,0.4,0.0,0.0
1,100,5,0.5,1000.0,100.0,0.0,20.1,5.620,31.745,0.001,0.004,20.1,20.1,0.0,0.0
1,100,5,0.7,1000.0,100.0,0.0,98.5,9.086,26.975,0.005,0.004,98.5,98.5,6.6,6.6
1,100,5,0.9,1000.0,20.0,0.2,59.3,7.059,13.079,0.002,0.002,20.0,100.0,17.9,89.5
1,25,10,0.1,1000.0,7.8,92.2,7.2,10.395,354.449,0.011,0.139,7.2,92.3,0.0,0.0
1,25,10,0.3,1000.0,82.3,17.7,82.3,19.981,377.132,0.126,0.148,82.3,100.0,4.0,4.9
1,25,10,0.5,1000.0,93.3,5.8,94.1,21.481,161.133,0.143,0.148,93.3,100.0,73.4,78.7
1,25,10,0.7,1000.0,5.1,17.7,53.8,18.180,56.937,0.423,0.781,5.1,100.0,5.0,98.0
1,25,10,0.9,1000.0,0.0,92.2,0.0,10.235,16.505,0.000,,0.0,,0.0,
1,50,10,0.1,1000.0,73.5,26.5,52.1,11.843,823.097,0.095,0.174,52.1,70.9,0.0,0.0
1,50,10,0.3,1000.0,99.9,0.1,99.9,27.476,724.571,0.398,0.389,99.9,100.0,0.2,0.2
1,50,10,0.5,1000.0,100.0,0.0,100.0,35.215,327.049,0.325,0.317,100.0,100.0,63.0,63.0
1,50,10,0.7,1000.0,92.6,0.1,99.2,29.335,106.029,3.479,3.502,92.6,100.0,92.1,99.5
1,50,10,0.9,1000.0,0.0,26.5,0.0,14.042,24.789,0.001,,0.0,,0.0,
1,100,10,0.1,1000.0,99.5,0.5,17.0,10.585,1011.478,0.039,0.205,17.0,17.1,0.0,0.0
1,100,10,0.3,1000.0,100.0,0.0,97.5,25.336,953.144,0.456,0.457,97.5,97.5,0.0,0.0
1,100,10,0.5,1000.0,100.0,0.0,100.0,49.903,543.317,0.743,0.728,100.0,100.0,38.9,38.9
1,100,10,0.7,1000.0,100.0,0.0,100.0,44.726,179.549,1.628,1.620,100.0,100.0,99.0,99.0
1,100,10,0.9,1000.0,0.0,0.5,2.9,21.411,37.226,0.007,0.163,0.0,,0.0,
