solver,J,K,p,basis_J_less_than_K,all_zero_column,all_one_column,two_column_check_failed,three_column_check_failed,identity_submatrix_direct_id,SAT_found_counterexample,SAT_unsat_identifiable
1,25,5,0.1,0.292,0.011,0.0,0.253,0.0,0.346,0.0,0.098
1,25,5,0.3,0.001,0.0,0.0,0.048,0.0,0.389,0.0,0.562
1,25,5,0.5,0.0,0.0,0.0,0.017,0.0,0.032,0.0,0.951
1,25,5,0.7,0.0,0.0,0.001,0.048,0.047,0.0,0.101,0.803
1,25,5,0.9,0.162,0.0,0.144,0.25,0.425,0.0,0.019,0.0
1,25,10,0.1,0.296,0.238,0.0,0.388,0.0,0.006,0.0,0.072
1,25,10,0.3,0.0,0.001,0.0,0.176,0.0,0.0,0.0,0.823
1,25,10,0.5,0.0,0.0,0.0,0.058,0.001,0.0,0.008,0.933
1,25,10,0.7,0.0,0.0,0.001,0.176,0.285,0.0,0.487,0.051
1,25,10,0.9,0.305,0.0,0.279,0.338,0.078,0.0,0.0,0.0
1,50,5,0.1,0.026,0.0,0.0,0.073,0.0,0.834,0.0,0.067
1,50,5,0.3,0.0,0.0,0.0,0.0,0.0,0.896,0.0,0.104
1,50,5,0.5,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.704
1,50,5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.998
1,50,5,0.9,0.007,0.0,0.02,0.072,0.731,0.0,0.157,0.013
1,50,10,0.1,0.025,0.025,0.0,0.215,0.0,0.214,0.0,0.521
1,50,10,0.3,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.999
1,50,10,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,50,10,0.7,0.0,0.0,0.0,0.001,0.007,0.0,0.066,0.926
1,50,10,0.9,0.0,0.0,0.046,0.219,0.735,0.0,0.0,0.0
1,100,5,0.1,0.0,0.0,0.0,0.002,0.0,0.993,0.0,0.005
1,100,5,0.3,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.004
1,100,5,0.5,0.0,0.0,0.0,0.0,0.0,0.799,0.0,0.201
1,100,5,0.7,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.985
1,100,5,0.9,0.0,0.0,0.0,0.002,0.405,0.0,0.393,0.2
1,100,10,0.1,0.0,0.0,0.0,0.005,0.0,0.825,0.0,0.17
1,100,10,0.3,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.975
1,100,10,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,100,10,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,100,10,0.9,0.0,0.0,0.0,0.005,0.966,0.0,0.029,0.0
