J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time,source_file,solver,resolved_before_SAT,SAT_identifiable,SAT_nonidentifiable,direct_identity_branch,two_col_branch,three_col_branch
100,10,10,0.1,0,0,0.0017384451348334,0.0001417861785739,0.0006221600342541,0.0012493950780481,0.0001307821366935,0.0,10,0.0038882209919393,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0038825685624033,0.0041029569692909,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
100,10,10,0.1,0,1,0.0014495318755507,8.682813495397568e-05,0.0005415838677436,0.0012615818995982,8.451496250927448e-05,0.0,10,0.0034281928092241,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0034240407403558,0.0040223440155386,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
100,10,10,0.1,0,2,0.001625619130209,9.471015073359013e-05,0.0006103590130805,0.0012260880321264,7.62520357966423e-05,0.0,10,0.0036367569118738,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0036330283619463,0.0040621850639581,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
100,10,10,0.1,0,3,0.0016031279228627,9.362888522446156e-05,0.0006133269052952,0.0012247159611433,7.546599954366684e-05,0.0,10,0.0036138100549578,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0036102656740695,0.0040135500021278,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
100,10,10,0.1,0,4,0.0015951199457049,9.396695531904696e-05,0.0006087319925427,0.0012380960397422,7.442501373589039e-05,0.0,10,0.0036139020230621,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0036103399470448,0.0040123478975147,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
100,10,10,0.1,0,5,0.0015977441798895,9.428709745407104e-05,0.0005987458862364,0.0012060848530381,7.425714284181595e-05,0.0,10,0.0035747177898883,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.00357111915946,0.0040737739764153,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
100,10,10,0.1,0,6,0.0015960650052875,9.555090218782424e-05,0.0006006089970469,0.0012163380160927,7.39621464163065e-05,0.0,10,0.0035861041396856,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0035825250670313,0.0040250080637633,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
100,10,10,0.1,0,7,0.002949149813503,8.507189340889454e-05,0.0006573509890586,0.0010771779343485,6.802007555961609e-05,0.207085995003581,13,0.2119377900380641,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,992,0.0048367707058787,0.0050009230617433,solver1_J100_K10_p0.1_seed0_diag.csv,1,0,1,0,0,0,0
100,10,10,0.1,0,8,0.0020882270764559,9.947805665433408e-05,0.000769177917391,0.0012263278476893,8.134194649755955e-05,0.2081813469994813,13,0.2124522740487009,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,992,0.0042645528446882,0.0045755140017718,solver1_J100_K10_p0.1_seed0_diag.csv,1,0,1,0,0,0,0
100,10,10,0.1,0,9,0.0017296911682933,9.916513226926328e-05,0.0006148181855678,0.0012243890669196,8.322391659021378e-05,0.0,10,0.0037551349960267,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0037512874696403,0.0040251449681818,solver1_J100_K10_p0.1_seed0_diag.csv,1,1,0,0,1,0,0
