solver,J,K,p,n,id_prop,id_and_not_complete_prop,not_complete_given_id,id_and_no_pure_prop,no_pure_given_id
1,25,5,0.1,1000.0,44.4,43.3,97.5,0.0,0.0
1,25,5,0.3,1000.0,95.1,92.1,96.8,0.0,0.0
1,25,5,0.5,1000.0,98.3,82.6,84.0,1.5,1.5
1,25,5,0.7,1000.0,80.3,80.2,99.9,34.5,43.0
1,25,5,0.9,1000.0,0.0,0.0,,0.0,
1,25,10,0.1,1000.0,7.8,6.6,84.6,0.0,0.0
1,25,10,0.3,1000.0,82.3,82.2,99.9,4.0,4.9
1,25,10,0.5,1000.0,93.3,93.3,100.0,73.4,78.7
1,25,10,0.7,1000.0,5.1,5.1,100.0,5.0,98.0
1,25,10,0.9,1000.0,0.0,0.0,,0.0,
1,50,5,0.1,1000.0,90.1,90.1,100.0,0.0,0.0
1,50,5,0.3,1000.0,100.0,100.0,100.0,0.0,0.0
1,50,5,0.5,1000.0,100.0,90.0,90.0,0.0,0.0
1,50,5,0.7,1000.0,99.8,98.9,99.1,25.9,26.0
1,50,5,0.9,1000.0,1.3,1.3,100.0,1.1,84.6
1,50,10,0.1,1000.0,73.5,73.2,99.6,0.0,0.0
1,50,10,0.3,1000.0,99.9,95.1,95.2,0.2,0.2
1,50,10,0.5,1000.0,100.0,100.0,100.0,63.0,63.0
1,50,10,0.7,1000.0,92.6,92.6,100.0,92.1,99.5
1,50,10,0.9,1000.0,0.0,0.0,,0.0,
1,100,5,0.1,1000.0,99.8,99.8,100.0,0.0,0.0
1,100,5,0.3,1000.0,100.0,100.0,100.0,0.0,0.0
1,100,5,0.5,1000.0,100.0,100.0,100.0,0.0,0.0
1,100,5,0.7,1000.0,100.0,89.6,89.6,6.6,6.6
1,100,5,0.9,1000.0,20.0,20.0,100.0,17.9,89.5
1,100,10,0.1,1000.0,99.5,99.5,100.0,0.0,0.0
1,100,10,0.3,1000.0,100.0,88.8,88.8,0.0,0.0
1,100,10,0.5,1000.0,100.0,100.0,100.0,38.9,38.9
1,100,10,0.7,1000.0,100.0,100.0,100.0,99.0,99.0
1,100,10,0.9,1000.0,0.0,0.0,,0.0,
