J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,10,10,0.1,50,0,0.0016349500510841608,0.00013577588833868504,0.00043275183998048306,0.0,0.0,0.0,12,0.002289348980411887,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,540,0.002203477779403329,0.0037911320105195045
25,10,10,0.1,50,1,0.0002468889579176903,0.0,0.0,0.0,0.0,0.0,8,0.00031734094955027103,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,144,0.0002468889579176903,0.0025688139721751213
25,10,10,0.1,50,2,0.001343423966318369,9.7665935754776e-05,0.0003024549223482609,0.0,0.0,0.0,12,0.0018211910501122475,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,448,0.0017435448244214058,0.003494116012006998
25,10,10,0.1,50,3,0.0007827449589967728,3.723404370248318e-05,0.0,0.0,0.0,0.0,11,0.0008907329756766558,0,0,all_zero_column,0,1,0,1,0,1,0,1,304,0.0008199790026992559,0.002960748039186001
25,10,10,0.1,50,4,0.0002605109475553036,0.0,0.0,0.0,0.0,0.0,8,0.0003379408735781908,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,96,0.0002605109475553036,0.0025215160567313433
25,10,10,0.1,50,5,0.0016291141510009766,9.551411494612694e-05,0.0004598840605467558,0.0,0.0,0.0,14,0.0022630849853157997,0,2,two_column_check_failed,0,1,0,1,0,1,0,1,425,0.0021845123264938593,0.003912891959771514
25,10,10,0.1,50,6,0.001842892961576581,8.57040286064148e-05,0.00023326091468334198,0.0,0.0,0.0,15,0.002248754957690835,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,418,0.0021618579048663378,0.0035425168462097645
25,10,10,0.1,50,7,0.0008014410268515348,9.581493213772774e-05,7.533491589128971e-05,0.0,0.0,0.0,10,0.0010312709491699934,0,2,two_column_check_failed,0,1,0,1,0,1,0,1,336,0.0009725908748805523,0.0026923930272459984
25,10,10,0.1,50,8,0.0008116469252854586,6.854790262877941e-05,0.0,0.0,0.0,0.0,11,0.0009615160524845123,0,0,all_zero_column,0,0,1,1,0,1,0,1,246,0.000880194827914238,0.0029655671678483486
25,10,10,0.1,50,9,0.00048826681450009346,7.567484863102436e-05,0.0,0.0,0.0,0.0,10,0.0006289270240813494,0,0,all_zero_column,0,0,1,1,0,1,0,1,180,0.0005639416631311178,0.00277057196944952
