J,K,N,p,seed,sim,runtime,identifiable,branch
50,5,10,0.3,3,0,0.003960803151130676,1,6
50,5,10,0.3,3,1,0.0004519987851381302,1,4
50,5,10,0.3,3,2,0.0004401355981826782,1,4
50,5,10,0.3,3,3,0.0004377216100692749,1,4
50,5,10,0.3,3,4,0.0004417300224304199,1,4
50,5,10,0.3,3,5,0.00043104030191898346,1,4
50,5,10,0.3,3,6,0.00043686293065547943,1,4
50,5,10,0.3,3,7,0.00388462096452713,1,6
50,5,10,0.3,3,8,0.0004380345344543457,1,4
50,5,10,0.3,3,9,0.0004398226737976074,1,4
50,5,10,0.3,0,0,0.0005631707608699799,1,4
50,5,10,0.3,0,1,0.0005429722368717194,1,4
50,5,10,0.3,0,2,0.0004502236843109131,1,4
50,5,10,0.3,0,3,0.00046914443373680115,1,4
50,5,10,0.3,0,4,0.0004494916647672653,1,4
50,5,10,0.3,0,5,0.00045416131615638733,1,4
50,5,10,0.3,0,6,0.0049626510590314865,1,6
50,5,10,0.3,0,7,0.00045562349259853363,1,4
50,5,10,0.3,0,8,0.00044757314026355743,1,4
50,5,10,0.3,0,9,0.0004549417644739151,1,4
50,5,10,0.3,2,0,0.0005702290218323469,1,4
50,5,10,0.3,2,1,0.0005470360047183931,1,4
50,5,10,0.3,2,2,0.0004926309920847416,1,4
50,5,10,0.3,2,3,0.00513390899868682,1,6
50,5,10,0.3,2,4,0.0004810970276594162,1,4
50,5,10,0.3,2,5,0.004060182021930814,1,6
50,5,10,0.3,2,6,0.00046216900227591395,1,4
50,5,10,0.3,2,7,0.0004369180533103645,1,4
50,5,10,0.3,2,8,0.00045252899872139096,1,4
50,5,10,0.3,2,9,0.00045629002852365375,1,4
50,5,10,0.3,1,0,0.000586463138461113,1,4
50,5,10,0.3,1,1,0.000545106828212738,1,4
50,5,10,0.3,1,2,0.0004601087421178818,1,4
50,5,10,0.3,1,3,0.00046558305621147156,1,4
50,5,10,0.3,1,4,0.00045416876673698425,1,4
50,5,10,0.3,1,5,0.00045047514140605927,1,4
50,5,10,0.3,1,6,0.0004588663578033447,1,4
50,5,10,0.3,1,7,0.00045483000576496124,1,4
50,5,10,0.3,1,8,0.000452287495136261,1,4
50,5,10,0.3,1,9,0.00044887885451316833,1,4
50,5,10,0.3,5,0,0.0005801394581794739,1,4
50,5,10,0.3,5,1,0.00391688197851181,1,6
50,5,10,0.3,5,2,0.0004947297275066376,1,4
50,5,10,0.3,5,3,0.0004554521292448044,1,4
50,5,10,0.3,5,4,0.00047402456402778625,1,4
50,5,10,0.3,5,5,0.00043872371315956116,1,4
50,5,10,0.3,5,6,0.00044484809041023254,1,4
50,5,10,0.3,5,7,0.00045185722410678864,1,4
50,5,10,0.3,5,8,0.0004394780844449997,1,4
50,5,10,0.3,5,9,0.0004538241773843765,1,4
50,5,10,0.3,4,0,0.0006103832274675369,1,4
50,5,10,0.3,4,1,0.0005678962916135788,1,4
50,5,10,0.3,4,2,0.0004757605493068695,1,4
50,5,10,0.3,4,3,0.0004754588007926941,1,4
50,5,10,0.3,4,4,0.00047896988689899445,1,4
50,5,10,0.3,4,5,0.0004703197628259659,1,4
50,5,10,0.3,4,6,0.0038446802645921707,1,6
50,5,10,0.3,4,7,0.0004752799868583679,1,4
50,5,10,0.3,4,8,0.004579165950417519,1,6
50,5,10,0.3,4,9,0.0004940181970596313,1,4
50,5,10,0.3,6,0,0.0005917660892009735,1,4
50,5,10,0.3,6,1,0.0005509443581104279,1,4
50,5,10,0.3,6,2,0.00047091394662857056,1,4
50,5,10,0.3,6,3,0.0004453640431165695,1,4
50,5,10,0.3,6,4,0.000462530180811882,1,4
50,5,10,0.3,6,5,0.0004642009735107422,1,4
50,5,10,0.3,6,6,0.005016157403588295,1,6
50,5,10,0.3,6,7,0.00045966915786266327,1,4
50,5,10,0.3,6,8,0.0004518236964941025,1,4
50,5,10,0.3,6,9,0.0040834806859493256,1,6
50,5,10,0.3,9,0,0.004637235775589943,1,6
50,5,10,0.3,9,1,0.0004952307790517807,1,4
50,5,10,0.3,9,2,0.0004600733518600464,1,4
50,5,10,0.3,9,3,0.00046152621507644653,1,4
50,5,10,0.3,9,4,0.000466763973236084,1,4
50,5,10,0.3,9,5,0.00045583024621009827,1,4
50,5,10,0.3,9,6,0.0004479512572288513,1,4
50,5,10,0.3,9,7,0.0004494786262512207,1,4
50,5,10,0.3,9,8,0.00045229122042655945,1,4
50,5,10,0.3,9,9,0.00044533610343933105,1,4
50,5,10,0.3,7,0,0.0038907788693904877,1,6
50,5,10,0.3,7,1,0.00047357939183712006,1,4
50,5,10,0.3,7,2,0.00045398809015750885,1,4
50,5,10,0.3,7,3,0.0004638154059648514,1,4
50,5,10,0.3,7,4,0.0004473291337490082,1,4
50,5,10,0.3,7,5,0.0004443097859621048,1,4
50,5,10,0.3,7,6,0.0004519876092672348,1,4
50,5,10,0.3,7,7,0.0004422646015882492,1,4
50,5,10,0.3,7,8,0.00044243037700653076,1,4
50,5,10,0.3,7,9,0.00045296549797058105,1,4
50,5,10,0.3,8,0,0.0006168484687805176,1,4
50,5,10,0.3,8,1,0.0006071161478757858,1,4
50,5,10,0.3,8,2,0.003872893750667572,1,6
50,5,10,0.3,8,3,0.0005226358771324158,1,4
50,5,10,0.3,8,4,0.0004805270582437515,1,4
50,5,10,0.3,8,5,0.0005219615995883942,1,4
50,5,10,0.3,8,6,0.0004746578633785248,1,4
50,5,10,0.3,8,7,0.0004631839692592621,1,4
50,5,10,0.3,8,8,0.0004681311547756195,1,4
50,5,10,0.3,8,9,0.00046552345156669617,1,4
50,5,10,0.3,12,0,0.0005789268761873245,1,4
50,5,10,0.3,12,1,0.0005622804164886475,1,4
50,5,10,0.3,12,2,0.0004991758614778519,1,4
50,5,10,0.3,12,3,0.0004633180797100067,1,4
50,5,10,0.3,12,4,0.000447859987616539,1,4
50,5,10,0.3,12,5,0.00044443458318710327,1,4
50,5,10,0.3,12,6,0.0004461333155632019,1,4
50,5,10,0.3,12,7,0.0004483405500650406,1,4
50,5,10,0.3,12,8,0.00043483637273311615,1,4
50,5,10,0.3,12,9,0.0004406832158565521,1,4
50,5,10,0.3,10,0,0.0005960199923720211,1,4
50,5,10,0.3,10,1,0.0005679579917341471,1,4
50,5,10,0.3,10,2,0.00046724200365133584,1,4
50,5,10,0.3,10,3,0.00048177302232943475,1,4
50,5,10,0.3,10,4,0.0004745190090034157,1,4
50,5,10,0.3,10,5,0.004984301020158455,1,6
50,5,10,0.3,10,6,0.0033256350143346936,1,6
50,5,10,0.3,10,7,0.00046892702812328935,1,4
50,5,10,0.3,10,8,0.0004550290177576244,1,4
50,5,10,0.3,10,9,0.0004698959819506854,1,4
50,5,10,0.3,13,0,0.00057956762611866,1,4
50,5,10,0.3,13,1,0.0005414504557847977,1,4
50,5,10,0.3,13,2,0.00046735815703868866,1,4
50,5,10,0.3,13,3,0.00045849569141864777,1,4
50,5,10,0.3,13,4,0.00044951029121875763,1,4
50,5,10,0.3,13,5,0.00045567192137241364,1,4
50,5,10,0.3,13,6,0.0004503391683101654,1,4
50,5,10,0.3,13,7,0.00045617856085300446,1,4
50,5,10,0.3,13,8,0.0004519578069448471,1,4
50,5,10,0.3,13,9,0.0030502937734127045,1,6
50,5,10,0.3,11,0,0.0005845967680215836,1,4
50,5,10,0.3,11,1,0.0005521047860383987,1,4
50,5,10,0.3,11,2,0.00045932456851005554,1,4
50,5,10,0.3,11,3,0.0004567243158817291,1,4
50,5,10,0.3,11,4,0.00046331435441970825,1,4
50,5,10,0.3,11,5,0.0004552379250526428,1,4
50,5,10,0.3,11,6,0.00046625733375549316,1,4
50,5,10,0.3,11,7,0.0004501752555370331,1,4
50,5,10,0.3,11,8,0.0004577748477458954,1,4
50,5,10,0.3,11,9,0.0004574880003929138,1,4
50,5,10,0.3,14,0,0.0005803219974040985,1,4
50,5,10,0.3,14,1,0.0005680397152900696,1,4
50,5,10,0.3,14,2,0.0004671849310398102,1,4
50,5,10,0.3,14,3,0.0004601944237947464,1,4
50,5,10,0.3,14,4,0.0004557538777589798,1,4
50,5,10,0.3,14,5,0.0004579201340675354,1,4
50,5,10,0.3,14,6,0.0004575997591018677,1,4
50,5,10,0.3,14,7,0.00046168267726898193,1,4
50,5,10,0.3,14,8,0.000454585999250412,1,4
50,5,10,0.3,14,9,0.00047111138701438904,1,4
50,5,10,0.3,16,0,0.0006179846823215485,1,4
50,5,10,0.3,16,1,0.004573749378323555,1,6
50,5,10,0.3,16,2,0.0005102138966321945,1,4
50,5,10,0.3,16,3,0.0005047358572483063,1,4
50,5,10,0.3,16,4,0.0005055367946624756,1,4
50,5,10,0.3,16,5,0.0005017612129449844,1,4
50,5,10,0.3,16,6,0.0004897583276033401,1,4
50,5,10,0.3,16,7,0.0004843957722187042,1,4
50,5,10,0.3,16,8,0.0038439687341451645,1,6
50,5,10,0.3,16,9,0.0004934035241603851,1,4
50,5,10,0.3,15,0,0.0005703180213458836,1,4
50,5,10,0.3,15,1,0.0005432079778984189,1,4
50,5,10,0.3,15,2,0.0004369579837657511,1,4
50,5,10,0.3,15,3,0.0004561290261335671,1,4
50,5,10,0.3,15,4,0.0004465619567781687,1,4
50,5,10,0.3,15,5,0.0004390199901536107,1,4
50,5,10,0.3,15,6,0.0004530110163614154,1,4
50,5,10,0.3,15,7,0.00044583104318007827,1,4
50,5,10,0.3,15,8,0.00043908896623179317,1,4
50,5,10,0.3,15,9,0.00044130400056019425,1,4
50,5,10,0.3,17,0,0.0005971509963274002,1,4
50,5,10,0.3,17,1,0.0005638357251882553,1,4
50,5,10,0.3,17,2,0.0004687253385782242,1,4
50,5,10,0.3,17,3,0.00046629831194877625,1,4
50,5,10,0.3,17,4,0.0004632584750652313,1,4
50,5,10,0.3,17,5,0.0004620719701051712,1,4
50,5,10,0.3,17,6,0.00046154484152793884,1,4
50,5,10,0.3,17,7,0.00047386251389980316,1,4
50,5,10,0.3,17,8,0.0004688464105129242,1,4
50,5,10,0.3,17,9,0.00047049298882484436,1,4
50,5,10,0.3,18,0,0.0006144363433122635,1,4
50,5,10,0.3,18,1,0.0006144195795059204,1,4
50,5,10,0.3,18,2,0.003221927210688591,1,6
50,5,10,0.3,18,3,0.0005014985799789429,1,4
50,5,10,0.3,18,4,0.00048161111772060394,1,4
50,5,10,0.3,18,5,0.000460255891084671,1,4
50,5,10,0.3,18,6,0.00046387873589992523,1,4
50,5,10,0.3,18,7,0.0004527382552623749,1,4
50,5,10,0.3,18,8,0.0004454366862773895,1,4
50,5,10,0.3,18,9,0.0004721004515886307,1,4
50,5,10,0.3,19,0,0.0005830507725477219,1,4
50,5,10,0.3,19,1,0.0005547832697629929,1,4
50,5,10,0.3,19,2,0.004479248076677322,1,6
50,5,10,0.3,19,3,0.0004627220332622528,1,4
50,5,10,0.3,19,4,0.00045536085963249207,1,4
50,5,10,0.3,19,5,0.0004391055554151535,1,4
50,5,10,0.3,19,6,0.00044108182191848755,1,4
50,5,10,0.3,19,7,0.00044339895248413086,1,4
50,5,10,0.3,19,8,0.0004432313144207001,1,4
50,5,10,0.3,19,9,0.0004486478865146637,1,4
50,5,10,0.3,20,0,0.0005710280092898756,1,4
50,5,10,0.3,20,1,0.0005353069864213467,1,4
50,5,10,0.3,20,2,0.0004562310059554875,1,4
50,5,10,0.3,20,3,0.00045347498962655663,1,4
50,5,10,0.3,20,4,0.00045445599243976176,1,4
50,5,10,0.3,20,5,0.0004487429978325963,1,4
50,5,10,0.3,20,6,0.00045924499863758683,1,4
50,5,10,0.3,20,7,0.00045966397738084197,1,4
50,5,10,0.3,20,8,0.00044384400825947523,1,4
50,5,10,0.3,20,9,0.0004500600043684244,1,4
50,5,10,0.3,23,0,0.0005848575383424759,1,4
50,5,10,0.3,23,1,0.0005456209182739258,1,4
50,5,10,0.3,23,2,0.0004527345299720764,1,4
50,5,10,0.3,23,3,0.00045897066593170166,1,4
50,5,10,0.3,23,4,0.00045319274067878723,1,4
50,5,10,0.3,23,5,0.00044757314026355743,1,4
50,5,10,0.3,23,6,0.00045348331332206726,1,4
50,5,10,0.3,23,7,0.00045993924140930176,1,4
50,5,10,0.3,23,8,0.0004527326673269272,1,4
50,5,10,0.3,23,9,0.00045766308903694153,1,4
50,5,10,0.3,22,0,0.0005949046462774277,1,4
50,5,10,0.3,22,1,0.0006218980997800827,1,4
50,5,10,0.3,22,2,0.00048485957086086273,1,4
50,5,10,0.3,22,3,0.00047174468636512756,1,4
50,5,10,0.3,22,4,0.003843666985630989,1,6
50,5,10,0.3,22,5,0.0004916191101074219,1,4
50,5,10,0.3,22,6,0.00045622512698173523,1,4
50,5,10,0.3,22,7,0.0004504062235355377,1,4
50,5,10,0.3,22,8,0.0004664938896894455,1,4
50,5,10,0.3,22,9,0.0004633832722902298,1,4
50,5,10,0.3,21,0,0.000595511868596077,1,4
50,5,10,0.3,21,1,0.0005483236163854599,1,4
50,5,10,0.3,21,2,0.00045133568346500397,1,4
50,5,10,0.3,21,3,0.00045781955122947693,1,4
50,5,10,0.3,21,4,0.00048665888607501984,1,4
50,5,10,0.3,21,5,0.003725675866007805,1,6
50,5,10,0.3,21,6,0.0004649106413125992,1,4
50,5,10,0.3,21,7,0.0004496108740568161,1,4
50,5,10,0.3,21,8,0.00044409558176994324,1,4
50,5,10,0.3,21,9,0.00044535286724567413,1,4
50,5,10,0.3,25,0,0.0005786489928141236,1,4
50,5,10,0.3,25,1,0.0005457100342027843,1,4
50,5,10,0.3,25,2,0.00046006799675524235,1,4
50,5,10,0.3,25,3,0.0004552199970930815,1,4
50,5,10,0.3,25,4,0.0004576189676299691,1,4
50,5,10,0.3,25,5,0.000443186960183084,1,4
50,5,10,0.3,25,6,0.0004491310101002455,1,4
50,5,10,0.3,25,7,0.00044555001659318805,1,4
50,5,10,0.3,25,8,0.0004478089977055788,1,4
50,5,10,0.3,25,9,0.004969008965417743,1,6
50,5,10,0.3,24,0,0.0005945507436990738,1,4
50,5,10,0.3,24,1,0.0005470216274261475,1,4
50,5,10,0.3,24,2,0.0004632584750652313,1,4
50,5,10,0.3,24,3,0.00045514293015003204,1,4
50,5,10,0.3,24,4,0.00045023299753665924,1,4
50,5,10,0.3,24,5,0.0004645511507987976,1,4
50,5,10,0.3,24,6,0.00046298466622829437,1,4
50,5,10,0.3,24,7,0.0004493929445743561,1,4
50,5,10,0.3,24,8,0.0004463009536266327,1,4
50,5,10,0.3,24,9,0.000474780797958374,1,4
50,5,10,0.3,26,0,0.0006249397993087769,1,4
50,5,10,0.3,26,1,0.0046109408140182495,1,6
50,5,10,0.3,26,2,0.0005459766834974289,1,4
50,5,10,0.3,26,3,0.0005105361342430115,1,4
50,5,10,0.3,26,4,0.0005177129060029984,1,4
50,5,10,0.3,26,5,0.0005046315491199493,1,4
50,5,10,0.3,26,6,0.0005098748952150345,1,4
50,5,10,0.3,26,7,0.0038317404687404633,1,6
50,5,10,0.3,26,8,0.004065273329615593,1,6
50,5,10,0.3,26,9,0.0005210600793361664,1,4
50,5,10,0.3,27,0,0.003914156928658485,1,6
50,5,10,0.3,27,1,0.00048182718455791473,1,4
50,5,10,0.3,27,2,0.0004547387361526489,1,4
50,5,10,0.3,27,3,0.0004491060972213745,1,4
50,5,10,0.3,27,4,0.0004438944160938263,1,4
50,5,10,0.3,27,5,0.004562761634588242,1,6
50,5,10,0.3,27,6,0.00045298971235752106,1,4
50,5,10,0.3,27,7,0.00043899938464164734,1,4
50,5,10,0.3,27,8,0.00044198520481586456,1,4
50,5,10,0.3,27,9,0.0004641003906726837,1,4
50,5,10,0.3,29,0,0.004669012501835823,1,6
50,5,10,0.3,29,1,0.00048096850514411926,1,4
50,5,10,0.3,29,2,0.0004465114325284958,1,4
50,5,10,0.3,29,3,0.00045335106551647186,1,4
50,5,10,0.3,29,4,0.00044588930904865265,1,4
50,5,10,0.3,29,5,0.0004471205174922943,1,4
50,5,10,0.3,29,6,0.000447222962975502,1,4
50,5,10,0.3,29,7,0.00044579245150089264,1,4
50,5,10,0.3,29,8,0.00045687146484851837,1,4
50,5,10,0.3,29,9,0.0004579927772283554,1,4
50,5,10,0.3,28,0,0.0006247404962778091,1,4
50,5,10,0.3,28,1,0.0006160810589790344,1,4
50,5,10,0.3,28,2,0.0005130674690008163,1,4
50,5,10,0.3,28,3,0.0004712790250778198,1,4
50,5,10,0.3,28,4,0.00046828947961330414,1,4
50,5,10,0.3,28,5,0.0004798341542482376,1,4
50,5,10,0.3,28,6,0.0004679560661315918,1,4
50,5,10,0.3,28,7,0.0038587339222431183,1,6
50,5,10,0.3,28,8,0.004304399713873863,1,6
50,5,10,0.3,28,9,0.0005174670368432999,1,4
50,5,10,0.3,30,0,0.000574487989069894,1,4
50,5,10,0.3,30,1,0.0005458529922179878,1,4
50,5,10,0.3,30,2,0.004466825979761779,1,6
50,5,10,0.3,30,3,0.0004632820200640708,1,4
50,5,10,0.3,30,4,0.00046751799527555704,1,4
50,5,10,0.3,30,5,0.0004484289966057986,1,4
50,5,10,0.3,32,0,0.0005789829883724451,1,4

50,5,10,0.3,30,7,0.00044439701014198363,1,4
50,5,10,0.3,32,1,0.0005384419928304851,1,4
50,5,10,0.3,30,8,0.0004395720025058836,1,4
50,5,10,0.3,32,2,0.0004504770040512085,1,4
50,5,10,0.3,30,9,0.0004583879781421274,1,4
50,5,10,0.3,32,3,0.0004449869738891721,1,4
50,5,10,0.3,32,4,0.00045093096559867263,1,4
50,5,10,0.3,32,5,0.00044062099186703563,1,4
50,5,10,0.3,32,6,0.0004521280061453581,1,4
50,5,10,0.3,32,7,0.0004519470385275781,1,4
50,5,10,0.3,32,8,0.0004434770089574158,1,4
50,5,10,0.3,32,9,0.000445580983068794,1,4
50,5,10,0.3,33,0,0.0005663968622684479,1,4
50,5,10,0.3,33,1,0.003880208358168602,1,6
50,5,10,0.3,33,2,0.00046487338840961456,1,4
50,5,10,0.3,33,3,0.0004645083099603653,1,4
50,5,10,0.3,33,4,0.00045750848948955536,1,4
50,5,10,0.3,33,5,0.00044673681259155273,1,4
50,5,10,0.3,33,6,0.0004439372569322586,1,4
50,5,10,0.3,33,7,0.0004583466798067093,1,4
50,5,10,0.3,33,8,0.00044596195220947266,1,4
50,5,10,0.3,33,9,0.0004718601703643799,1,4
50,5,10,0.3,31,0,0.0006049703806638718,1,4
50,5,10,0.3,31,1,0.0005669631063938141,1,4
50,5,10,0.3,31,2,0.00048523955047130585,1,4
50,5,10,0.3,31,3,0.0004795864224433899,1,4
50,5,10,0.3,31,4,0.0004704110324382782,1,4
50,5,10,0.3,31,5,0.0004749353975057602,1,4
50,5,10,0.3,31,6,0.0004714149981737137,1,4
50,5,10,0.3,31,7,0.0004854965955018997,1,4
50,5,10,0.3,31,8,0.0004802923649549484,1,4
50,5,10,0.3,31,9,0.0004938356578350067,1,4
50,5,10,0.3,34,0,0.0005781948566436768,1,4
50,5,10,0.3,34,1,0.0005390476435422897,1,4
50,5,10,0.3,34,2,0.0004483666270971298,1,4
50,5,10,0.3,34,3,0.0004578549414873123,1,4
50,5,10,0.3,34,4,0.00043821893632411957,1,4
50,5,10,0.3,34,5,0.00045488402247428894,1,4
50,5,10,0.3,34,6,0.0004556532949209213,1,4
50,5,10,0.3,34,7,0.004997054114937782,1,6
