J,K,N,p,seed,avg_runtime,prop_identifiable,branch_-1,branch_0,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6
50,15,1,0.1,8,0.03886338509619236,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,3,0.0615616999566555,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,4,0.08251449814997613,0.0,0,0,0,1,0,0,0,0
50,15,1,0.1,9,69.2458672458306,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,0,78.13045352324843,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,6,87.19698443263769,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,1,105.25446272594854,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,7,128.31451192125678,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,2,131.19217540277168,1.0,0,0,0,0,0,0,0,1
50,15,1,0.1,5,290.1539000608027,1.0,0,0,0,0,0,0,0,1
