J,K,N,seed,avg_runtime,prop_identifiable,prop_non_identifiable,total_time,count_generator_empty,prop_generator_empty
30,4,10,1,0.007696723937988282,1.0,0.0,0.07696723937988281,10,1.0
30,4,10,5,0.006554508209228515,1.0,0.0,0.06554508209228516,10,1.0
30,4,10,9,0.005503535270690918,1.0,0.0,0.05503535270690918,10,1.0
30,4,10,3,0.005916237831115723,1.0,0.0,0.05916237831115723,10,1.0
30,4,10,7,0.012199807167053222,1.0,0.0,0.12199807167053223,10,1.0
30,4,10,4,0.012858247756958008,1.0,0.0,0.12858247756958008,10,1.0
30,4,10,8,0.01711580753326416,1.0,0.0,0.1711580753326416,10,1.0
30,4,10,10,0.01882154941558838,1.0,0.0,0.1882154941558838,10,1.0
30,4,10,12,0.019694876670837403,1.0,0.0,0.19694876670837402,10,1.0
30,4,10,0,0.007479095458984375,1.0,0.0,0.07479095458984375,10,1.0
30,4,10,2,0.020097947120666503,1.0,0.0,0.20097947120666504,10,1.0
30,4,10,15,0.005602574348449707,1.0,0.0,0.05602574348449707,10,1.0
30,4,10,16,0.0065349102020263675,1.0,0.0,0.06534910202026367,10,1.0
30,4,10,14,0.006467771530151367,1.0,0.0,0.06467771530151367,10,1.0
30,4,10,19,0.017879462242126463,1.0,0.0,0.17879462242126465,10,1.0
30,4,10,11,0.030027389526367188,1.0,0.0,0.3002738952636719,10,1.0
30,4,10,18,0.0260744571685791,1.0,0.0,0.260744571685791,10,1.0
30,4,10,13,0.01828134059906006,1.0,0.0,0.18281340599060059,10,1.0
30,4,10,17,0.022931408882141114,1.0,0.0,0.22931408882141113,10,1.0
30,4,10,6,0.24505839347839356,1.0,0.0,2.4505839347839355,10,1.0
30,4,10,21,0.006211662292480468,1.0,0.0,0.06211662292480469,10,1.0
30,4,10,22,0.004493212699890137,1.0,0.0,0.04493212699890137,10,1.0
30,4,10,24,0.0071407794952392575,1.0,0.0,0.07140779495239258,10,1.0
30,4,10,23,0.009423160552978515,1.0,0.0,0.09423160552978516,10,1.0
30,4,10,34,0.007739853858947754,1.0,0.0,0.07739853858947754,10,1.0
30,4,10,29,0.008752894401550294,1.0,0.0,0.08752894401550293,10,1.0
30,4,10,27,0.011026811599731446,1.0,0.0,0.11026811599731445,10,1.0
30,4,10,25,0.01772491931915283,1.0,0.0,0.17724919319152832,10,1.0
30,4,10,30,0.015919709205627443,1.0,0.0,0.15919709205627441,10,1.0
30,4,10,26,0.01921982765197754,1.0,0.0,0.1921982765197754,10,1.0
30,4,10,20,0.006837773323059082,1.0,0.0,0.06837773323059082,10,1.0
30,4,10,37,0.008263182640075684,1.0,0.0,0.08263182640075684,10,1.0
30,4,10,32,0.00487213134765625,1.0,0.0,0.0487213134765625,10,1.0
30,4,10,38,0.013996291160583495,1.0,0.0,0.13996291160583496,10,1.0
30,4,10,31,0.007255911827087402,1.0,0.0,0.07255911827087402,10,1.0
30,4,10,33,0.03296706676483154,1.0,0.0,0.32967066764831543,10,1.0
30,4,10,36,0.015912342071533202,1.0,0.0,0.15912342071533203,10,1.0
30,4,10,39,0.01675410270690918,1.0,0.0,0.1675410270690918,10,1.0
